exhibit_number,id,Production date,Find spot,Materials,Technique,Inscription,Subjects,Assoc name,Culture,Section,Place,description,production_year_min,production_year_max,is_date_range,date_parse_status,find_spot_city,find_spot_country,location_parse_status
11,8938,525BC-500BC (circa),Excavated/Findspot: Naukratis,pottery,painted; incised,,classical deity,,Attic; Archaic Greek,Greek,Greece,"This rim sherd of an Attic black-figured Type A cup, dating from around 525-500 BC, exemplifies the sophisticated artistry of Archaic Greek pottery. Crafted from pottery and employing both painted and incised techniques, this artifact features a striking black-figure exterior decoration, with a double ivy leaf frieze above a depiction of Dionysos, the classical deity. The rim's interior displays a reserved band, with the glaze fired to a reddish hue below. The representation of Dionysos shows his upper body cloaked, holding a horn, and likely extending a vine tendril. The field is further adorned with vine motifs, emphasizing the god's association with wine and revelry. This piece was excavated in Naukratis, a significant Greek trading post in Egypt, highlighting the cultural exchange between Greece and Egypt during this period.",-525.0,-500.0,True,success,Naukratis,Egypt,success
12,9178,500BC,Excavated/Findspot: Nola,pottery,painted; incised,,classical deity; mythical figure/creature; musician,Representation of: Apollo;  Representation of: Dionysos/Bacchus;  Representation of: Hermes/Mercury;  Representation of: Maenads,Attic; Archaic Greek,Greek,Greece,"This Archaic Greek hydria, dating to 500 BC, is a prime example of Attic pottery, characterized by its black-figure design set against a red panel backdrop, accentuated with purple and white accessories. The artwork features a striking depiction of divine and mythical figures: on the left, Dionysos is portrayed moving rightward, adorned with long hair, a beard, an ivy wreath, and wearing a long white chiton and himation. At the center, Apollo Citharoedos appears beardless with a laurel wreath, elegantly strumming a chelys using a plectrum, while drapery hangs from the instrument. Flanking Apollo are two suggested Maenads, clad in decorative chitons and himatia, indicative of their role as followers of Dionysos. Completing the scene on the right is Hermes, rendered with a backward glance, dressed in a short white chiton, chlamys, petasos, and endromides, and holding his iconic caduceus. The scene is intricately enhanced by a double honeysuckle motif above and bordered by a network pattern along the sides. This hydria was unearthed in Nola and exemplifies the artistry and mythological storytelling central to Greek ceramic work of the time.",-500.0,-500.0,False,success,Nola,Italy,success
13,9206,520BC (circa),Excavated/Findspot: Vulci,pottery,painted; incised,"Inscription type: inscription Inscription quoted: Λυσιππίδης καλός, Ρόδον καλέ",marriage/wedding; procession; warrior; horse/ass; charioteer/chariot; mythical figure/creature,Representation of: Achilles (?);  Representation of: Memnon (?);  Representation of: Antilochus (?),Attic; Archaic Greek,Greek,Greece,"This exquisite black-figured hydria, crafted around 520 BC during the Archaic Greek period, exemplifies Attic pottery through its intricate design and skilled craftsmanship. The vase is adorned with black designs set against a red panel, featuring accents in white and purple, and bordered by ivy motifs. On the shoulder of the hydria, a possible depiction of the mythological contest between Achilles and Memnon is presented, where the central figure, possibly Antilochus, lies flat and nude, while the armed warriors confront each other with spears and Boeotian shields, under the gaze of four spectating males holding wands. The main body showcases a marriage procession, highlighted by a quadriga carrying a male and female figure, both robed in opulent chiton and himation, accompanied by figures playing music and applauding. Inscribed with ""Λυσιππίδης καλός, Ρόδον καλέ,"" the piece also bears a frieze of animals below, featuring a siren flanked by a panther and a doe. This hydria was uncovered in Vulci, an Etruscan city known for its rich archaeological findings, enhancing our understanding of ancient Greek iconography and cultural interactions.",-520.0,-520.0,False,success,Vulci,Italy,success
14,9230,390BC (circa),Excavated/Findspot: Blacas Tomb,pottery,painted,Inscription type: inscription,satyr; classical mythology; charioteer/chariot; mythical figure/creature; classical deity,Representation of: Demeter/Ceres;  Representation of: Core (?);  Representation of: Aphrodite/Venus;  Representation of: Eros/Cupid,Attic,Greek,Greece,"This exquisite Attic red-figured hydria, dating to around 390 BC, exemplifies the ornate style of Greek pottery with its elaborate design painted on a black background. Adorned with white accessories, the vessel features intricate decorations such as egg-moulding around the lip and a maeander and chequer pattern below the primary scene. The central artwork depicts a dynamic tableau with a chariot drawn by two Erotes, ceremonially adorned and steering the vessel with Demeter and likely Core (Persephone) as passengers. These revered figures are portrayed with radiated fillets, ornate chitons, and intricate jewelry. Dancing Maenads, Satyrs, and seated figures populate the scene, each painstakingly detailed with beaded ornaments, necklaces, and embroidered garments. Iconographic elements include thyrsoi, tympana, and floral motifs, all indicating a celebration of the divine and mythical. The presence of notable deities such as Aphrodite and representations of Eros further infuse the piece with significant mythological narrative. This hydria was discovered in the Blacas Tomb, shedding light on burial practices and the cultural interplay between art and mythology in classical Greece.",-390.0,-390.0,False,success,Blacas Tomb,Italy,success
15,9232,490BC-460BC,Excavated/Findspot: Kalavarda,pottery,painted; incised,,classical deity; religious object,Representation of: Nike/Victoria/Victory,Attic,Greek,Greece,"This Attic black-figured hydria, crafted from pottery between 490 and 460 BCE, is a striking example of ancient Greek artistry. The design, rendered in black on a red panel, is bordered by intricate maeanders, palmettes, and dotted borders, with white accents adding depth to the composition. The scene depicts Nike, the personification of victory, elegantly flying to the right. She gazes back, her hair adorned with a white sphendone, while her outspread wings emerge from her breast. Nike's long chiton exhibits white markings, and she extends a white taenia with her hands, gracefully heading towards an altar topped by a blazing fire. A branch is delicately painted in the field, enhancing the visual narrative. This hydria, employing both painted and incised techniques, was discovered in Kalavarda, highlighting its cultural and religious significance as part of the rich tapestry of Greek civilization.",-490.0,-460.0,True,success,Kalavarda,Greece,success
16,9451,575BC-560BC (circa),Excavated/Findspot: Sanctuary of the Dioskouroi (Naukratis) (probably),pottery,painted; incised,Inscription type: inscription Inscription position: on wall Inscription language: Greek Inscription script: Greek Inscription quoted: Λυκοπις Inscription translation: Lykopis Inscription note: Pre-firing dipinto.,amazon,,Attic; Archaic Greek,Greek,Greece,"This Attic black-figured pottery lebes gamikos body sherd, dating from around 575-560 BC, is a fine representation of Archaic Greek artistry. The artifact, crafted from pottery and employing both painting and incising techniques, depicts a detailed scene on its exterior. It features part of a fallen Amazon to the right, the figure intricately detailed with a belted long chiton and a scabbard adorned with added red. The Amazon's face is outlined, with an eye showing a distinctive cornea meeting the upper eyelid. A Boeotian shield with a red border supports the figure, complemented by a spear positioned point downward, and an evocative touch of red depicting blood on the lower chiton part. The scene also includes the left leg and foot of another Amazon dashing to the right, and to the right side, a chain of vertical lotus and palmette with red highlights. A wide border of dots and alternating bands in red and black frames the scene intricately. The artifact bears a Greek inscription ""Λυκοπις"" (Lykopis) applied pre-firing on the wall. This pottery piece was excavated at the Sanctuary of the Dioskouroi in Naukratis, providing insight into its ceremonial use and the cultural exchanges within this Greek locale.",-575.0,-560.0,True,success,Sanctuary of the Dioskouroi,Iraq,success
17,9463,440BC (circa),Excavated/Findspot: Nola,pottery,painted,Inscription type: inscription,classical deity,Named in inscription & portrayed: Muses,Attic,Greek,Greece,"This exquisite Attic red-figured pottery lid from a lekanis, crafted circa 440 BC, exemplifies the finest style of Greek ceramic artistry. Adorned with a broad frieze encircling the central handle, it features intricate designs such as purple fillets, inscriptions, and wreaths. Surrounding the handle is an egg pattern, while the lips are decorated with alternating sets of maeanders and chequer squares. The artwork portrays seven Muses organized into three distinct groups: a seated Muse with broken away name, Polyhymnia, known by her inscribed name ΠΟΛΥ.ΝΙΑ, holding a likely scroll, and Cleio, ΚΛΕΩ, depicted with flutes; adjacent are Euterpe, inscribed ΕΥΤΕΡΠΕ, and Thaleia, ΘΑΛΕΙΑ, holding a wreath; lastly, Erato, inscribed as . . . ΤΩ, addressing Calliope with a square box. The Muses are elegantly depicted in long Ionic chitons with looped hair, except for Thaleia, who wears a Doric chiton with cropped hair. This lid was excavated from Nola, offering a glimpse into the rich decorative traditions of ancient Greece and the veneration of classical deities in the artistic milieu.",-440.0,-440.0,False,success,Nola,Italy,success
18,9481,370BC-350BC,Excavated/Findspot: Puglia,pottery,painted,,classical deity,Representation of: Eros/Cupid,Attic,Greek,Greece,"This exquisite Attic pottery piece, a red-figured lekanis with a lid, hails from the classical Greek period, specifically dated between 370-350 BCE. The lekanis is adorned with a striking design in red and white against a black ground, featuring egg-moulding on the cover and palmettes on the body, a testament to its intricate craftsmanship. The painted scene on the cover depicts a lively toilet scene centered around Eros, the classical deity of love, rendered with white flesh, red wings with black markings, and curly hair, holding an embroidered taenia. This vivid portrayal includes a seated female figure with an unguent-box and a cista, as well as another female figure running with a cista and taenia, both of whom are elegantly dressed in bordered garments. A youth, draped in fabric, sits with a calathos, while above him are intricate details including an embroidered taenia, tendrils, and an alabastron. This artefact, with its mythological associations and dynamic composition, was excavated in Puglia, offering a glimpse into the sophisticated artistry and cultural narratives of ancient Greece.",-370.0,-350.0,True,success,Puglia,Italy,success
19,9510,480BC-460BC,Excavated/Findspot: Athens,pottery,painted; incised,,satyr; mythical figure/creature; classical deity; equestrian,Representation of: Dionysos/Bacchus,Attic,Greek,Greece,"This Attic black-figure lekythos, dating from 480-460 BC, exemplifies the pottery techniques prominent in ancient Greece, specifically within the cultural context of Athens. The lekythos is crafted from pottery, employing both painting and incision techniques, and is adorned in a rather coarse style. The central design portrays the classical deity Dionysos, identifiable by his ivy-wreath, donned in a long white chiton with a purple border and a himation. He is depicted holding a keras and branches with fruit. Flanking Dionysos are two female figures, each elegantly poised on a mule, their hair encased under a fillet and cloaked in a himation. Completing the scene are two Satyrs, each grasping a taenia, with the one on the right glancing backwards, adding to the dynamic composition of the piece. This lekythos was excavated in Athens, shedding light on the religious and mythological narratives intrinsic to Greek society during this period.",-480.0,-460.0,True,success,Athens,Greece,success
20,9633,550BC-530BC (circa),Excavated/Findspot: Naukratis,pottery,painted; incised,,classical mythological figure/creature,,Attic; Archaic Greek,Greek,Greece,"This is a body sherd from an Attic black-figured pottery lip-cup, dating from circa 550-530 BC, representative of the Archaic Greek period. Crafted in Greece, the sherd is composed of pottery and exhibits both painted and incised techniques. Its interior design features a black zone bordered by alternating red and black tongue friezes, separated by sets of four black lines. Within the tondo, there is a black-figure decoration that appears to depict two male figures and an Amazon, all facing right, with the Amazon likely turning back. Of the male figures, one bent leg and one greaved leg are discernible, while for the Amazon, a white leg encased in a red greave is preserved. The exterior is predominantly black except for a portion of the reserved band at the outer break. This artifact, reflecting classical mythological themes, was excavated at Naukratis, an important ancient Greek trading post, providing a glimpse into the artistic and cultural exchanges of the time.",-550.0,-530.0,True,success,Naukratis,Egypt,success
21,9675,450BC-430BC,Excavated/Findspot: Nola,pottery,painted,,classical deity (?),Representation of: Zeus/Jupiter (?),Attic,Greek,Greece,"This Attic red-figured neck-amphora, produced between 450-430 BC, presents a serene depiction of possibly Zeus, seated regally to the right. The god is characterized by his beard, long hair adorned with a fillet, and an attire consisting of a long-sleeved chiton and himation. He holds a sceptre topped with a flower, and a tall stele on a plinth is situated behind him to the left. The reverse side features an ephebos, or young man, draped in a mantle and fillet, standing to the left while leaning on a crutch staff, his hair neatly looped over his ears. The vase is noted for its drawing of a good period, though executed somewhat carelessly, and uses purple for the fillet and a lighter brown for the hair and beard's ends. Decorative motifs include a meander beneath scene (a) and a row of ivy leaves beneath scene (b). This painted pottery, unearthed in Nola, richly embodies the classical artistic style and iconography of ancient Greece, shedding light on the era's cultural and religious conventions.",-450.0,-430.0,True,success,Nola,Italy,success
22,9682,470BC-450BC (circa),Excavated/Findspot: Nola (said to be from),pottery,painted,Inscription type: inscription,classical deity,Representation of: Herakles/Hercules;  Representation of: Apollo,Attic,Greek,Greece,"This exquisite Attic neck-amphora, dating approximately from 470-450 BCE, embodies the artistry of red-figure pottery through its detailed depictions encircling the vessel. Crafted from pottery and painted with a strong style, the amphora's most prominent imagery features the mythological contest between Heracles and Apollo for the sacred tripod. Heracles, depicted as beardless and nude, is in dynamic motion, carrying the tripod over his left shoulder while brandishing his club at Apollo who advances to reclaim it. Apollo is portrayed with long hair tied back, dressed in a short chiton with a mantle over his arms. The scene is further animated by the inscribed Greek words ΑΛΚΙΜΑXΩΣ KAΛΩΣ EΠIXAPΟΣ, celebrating the beauty of Alkimachos and Epicharos. On the reverse side, a stark contrast is presented with the figure of a bald, elderly man wrapped in a mantle, holding a staff and gazing backward. Notable features include the use of purple for headdresses and inscriptions, brown markings for Heracles' whiskers, and the transitional detailing of the eyes. The amphora, said to originate from Nola, is bordered by a continuous band of maeander beneath the illustrations, demonstrating the classical deity theme prevalent in Greek art.",-470.0,-450.0,True,success,Nola,Italy,success
23,9697,470BC-450BC,Excavated/Findspot: Vulci,pottery,painted,,classical deity,Representation of: Nike/Victoria/Victory,Attic,Greek,Greece,"This exquisite Attic red-figured neck-amphora, crafted between 470 and 450 BCE, exemplifies the classical artistry of ancient Greece, discovered in Vulci. Made from pottery and adorned using the painted technique, the amphora vividly depicts two scenes elegant in their simplicity. On one side (a), the goddess Nike, draped in a long-sleeved chiton, himation, and saccos, gracefully moves to the right, raising a fluted phiale in her right hand, while a woman in a mantle-tied long chiton accompanies her, holding an alabastron, her hair adorned with a double-wound fillet. The reverse side (b) reveals a narrative of two youths; as they walk to the right, each clad in a mantle and fillet, the latter raises a cotyle in his right hand. The piece is characteristic of the late strong style, noted for its increasingly indifferent execution. The amphora's decoration is framed by a strip of maeander below each scene, a tongue pattern above, and a net pattern adorning the sides, forming a cohesive and visually striking panel.",-470.0,-450.0,True,success,Vulci,Italy,success
24,9741,480BC (circa),Excavated/Findspot: Nola,pottery,painted,,classical deity,Representation of: Athena/Minerva;  Representation of: Hermes/Mercury,Attic,Greek,Greece,"This Attic red-figured neck-amphora, dating circa 480 BC, exemplifies the late stage of the large severe style, renowned in classical Greek pottery. Crafted from painted pottery, the amphora showcases twisted handles and intricate iconography on both sides. Side (a) depicts Hermes, the bearded messenger god, crowned with a wreath and donning a short-sleeved chiton and chlamys. His iconic petasos rests at his back, while he moves to the right, looking back and extending a caduceus with his left hand, adorned in endromides detailed with crescent-form flaps. Side (b) displays Athena in a long-sleeved chiton, with her mantle elegantly fastened on her left shoulder, as she holds a spear and high-crested helmet while her aegis, fringed with spiral snakes, drapes below the waist. The artwork features a palette of purple for wreaths, cords, and bracelets, with brown details enriching the folds of Athena's attire and jewelry. The amphora is adorned with a band of alternating maeanders and dotted cross squares beneath each side, complemented by an egg pattern at the handle's base. Excavated in Nola, this artifact embodies the rich mythological and artistic heritage of ancient Greece, featuring representations of the deities Athena and Hermes.",-480.0,-480.0,False,success,Nola,Italy,success
25,9783,500BC (circa),Excavated/Findspot: Vulci,pottery,painted; incised,,mammal; mythical figure/creature,Representation of: Maenads,Attic,Greek,Greece,"This Attic black-figured oinochoe, dating to around 500 BCE, is a fine example of ancient Greek pottery characterized by its intricate painted and incised design. The vessel features a striking decoration in black on a red panel, with a lip ornamented by a chequer-pattern and the neck adorned with alternating palmettes and lotus-flowers, the palmettes being inverted. Below this, pomegranate buds and the use of white and purple accessories further enhance its visual appeal. The scene depicted is of a Maenad, a follower of Dionysus, elegantly seated on a bull moving to the right; she is shown with long hair, wearing a fillet and necklace, and dressed in a long-sleeved chiton patterned with purple spots while playing the crotala, or castanets. Vine-branches with grapes enrich the background, adding a touch of nature to the mythological tableau. This vessel was uncovered in Vulci, an area renowned for its rich archaeological finds, bringing to light the cross-cultural exchanges in Etruscan and Greek art.",-500.0,-500.0,False,success,Vulci,Italy,success
26,9809,500BC-480BC,Excavated/Findspot: Kamiros (historic),pottery,painted; incised,,classical deity; charioteer/chariot,Representation of: Dionysos/Bacchus;  Representation of: Ariadne,Attic,Greek,Greece,"This Attic black-figured oinochoe, dating from 500-480 BCE, exemplifies the classical Greek pottery tradition with its rather coarse style. The piece features a design in black on a red panel bordered by dots, with white used as an accessory color. The artwork depicts Dionysos, the god of wine, seated on the ground facing left, adorned with a long beard, hair, and an ivy wreath, his left arm resting on a cushion. Ariadne is portrayed moving past him to the right, with long tresses and dressed in a long chiton and pardalis, the panther's head draped over her left shoulder. To the left are the foreparts of the horses from Dionysos' quadriga, adding a dynamic element to the scene. Branches are included in the background, enhancing the natural aesthetic. This piece was excavated in Kamiros, an ancient city on the island of Rhodes, providing a glimpse into the artistic and religious expressions of the time through its painted and incised pottery techniques.",-500.0,-480.0,True,success,Kamiros,Greece,success
27,6036,6000BC-5000BC,Excavated/Findspot: Arpachiyah,steatite,pierced,,cross,,Halaf,Mesopotamian,iraq,"This Halaf cultural artifact, dating from 6000 to 5000 BC, is a black steatite amulet intricately shaped like a Maltese cross. Designed for suspension, it features a pierced section likely intended for stringing or attachment, reflecting the utilitarian and symbolic functions of such objects in ancient Mesopotamian societies. The artifact's cross shape could suggest spiritual or protective significance within the Halaf culture. Discovered during excavations at Arpachiyah in present-day Iraq, this amulet offers a glimpse into the artistry and beliefs of early Neolithic communities in the region.",-6000.0,-5000.0,True,success,Arpachiyah,Iraq,success
28,6101,2100BC-2000BC,Excavated/Findspot: Ur (historic - city),chlorite,perforated,,mammal,,Third Dynasty of Ur,Mesopotamian,iraq,"This artifact is a green chlorite cylinder seal originating from the Third Dynasty of Ur, dated between 2100-2000 BC. It features a vivid contest scene, depicting two crossed lions engaged in combat with naked heroes. The design is executed in a simple and linear style, with the treatment of the figures' heads echoing the artistic conventions of Early Dynastic III seals. The seal is perforated with a small, straight hole, indicating its use as a means of personal identification or decoration. Despite the passage of time, the upper part of the lion and much of the scene remain visible, though a large chip and signs of erasure are present on one side. This seal was excavated from the historic city of Ur, modern-day Iraq, providing a tangible connection to the legendary cultural and historical landscapes of Mesopotamia.",-2100.0,-2000.0,True,success,Ur,Iraq,success
29,6147,800BC-750BC,Excavated/Findspot: Nineveh (historic - Iraq),chalcedony,wheel-cut; hand-modelled; drilled,,cattle; jewellery; sun/moon; arms/armour; equestrian; devotee/worshipper; planet/constellation,Representation of: Pleiades (?);  Emblem of: Marduk;  Emblem of: Nabu;  Emblem of: Sibitti (?),Neo-Assyrian,Mesopotamian,iraq,"This exquisite Neo-Assyrian blue chalcedony cylinder seal, dated between 800 and 750 BCE, hails from the renowned historic site of Nineveh in present-day Iraq. Crafted using wheel-cut, hand-modeled, and drilled techniques, the seal displays a vibrant scene beneath a multipartite winged disc, emblematic of the period's iconography. At the center, a cow is tenderly depicted suckling a calf, looking back at a leaping gazelle, while a gallant horseman advances below, guiding a horse adorned with a beaded harness and a triple-crested plume. This complex narrative continues with a kid animal below and a stately worshipper standing to the right, gesturing symbolically. The intricate design incorporates celestial elements such as a star, crescent, and the Pleiades, along with divine emblems of Marduk, Nabu, and possibly Sibitti. The meticulous detailing, from the horseman's fringed tunic and plume-evoking drill-holes to the symbolic trident, wedges, and spade, reflects the sophisticated artistry and religious symbolism of Neo-Assyrian culture. The seal's convex ends and slightly concave sides are bordered by thin lines, completing this masterful piece of Mesopotamian craftsmanship.",-800.0,-750.0,True,success,Nineveh,Iraq,success
