exhibit_number,id,Production date,Find spot,Materials,Technique,Inscription,Subjects,Assoc name,Culture,Section,Place,description,production_year_min,production_year_max,is_date_range,date_parse_status,find_spot_city,find_spot_country,location_parse_status
11,7843,250-600,Found/Acquired: Shibayama dolmen,bronze; gold,gilded,,,,Kofun Period,Japanese,Japan,"This fragment of a harness pendant dates from the Kofun Period, specifically between 250-600 CE, and was discovered at the Shibayama dolmen in Japan. Crafted from gilt bronze, this pendant originally embodied an elegant design featuring oval and lozenge shapes, of which only a section of the oval remains today. The use of gilding indicates the luxurious craftsmanship typical of the era, reflecting the sophistication and artistry present in Japanese metalwork during this time. The pendant's origin from a dolmen—a megalithic tomb structure—suggests its role in burial practices, potentially symbolizing status or serving as a ceremonial object. This artifact offers insights into the material culture and mortuary customs of the ancient Kofun society.",250.0,600.0,True,success,Shibayama dolmen,Japan,success
12,7857,600-650,Found/Acquired: Kinshozan,stoneware,ash-glazed,Inscription type: inscription Inscription language: English Inscription quoted: near Akasaka (Mino)  Kinshozan. 3/10/86,,,Late Kofun,Japanese,Japan,"This vessel, crafted for serving rice wine, dates back to the Late Kofun period between 600-650 CE. Originating from Japan, the vessel is fashioned from high-fired stoneware, coated with a natural ash glaze that imparts a distinctive finish. Its design features a small, globular body with a round base and a pronounced shoulder, culminating in a long neck that flares into a wide mouth. Incised grooves accentuate both the neck and body, enhancing its aesthetic appeal. A small central hole adds to its unique form. An inscription in English notes ""near Akasaka (Mino) Kinshozan. 3/10/86,"" providing locational and potentially historical context. This artifact was found or acquired at Kinshozan, linking it to the rich cultural tapestry of the region.",600.0,650.0,True,success,Kinshozan,Japan,success
13,7912,650-700,Found/Acquired: Yasui rock tomb,stoneware,tataki,,,,Late Kofun,Japanese,Japan,"This exquisite jar from the Late Kofun period, crafted between 650-700 CE, epitomizes the high-fired stoneware artistry of ancient Japan. Featuring a globular body with a rounded base and a short neck that elegantly flares towards the mouth, the jar is accented by circular handles affixed to each shoulder. The exterior showcases distinctive tataki matted paddle marks, a testament to the period's ceramic techniques, while the interior bears the hallmark round anvil marks. Shellfish fragments adhere to its surface, hinting at its historical and geographical journey. This artifact was discovered in the Yasui rock tomb in Japan, providing valuable insight into the burial practices and material culture of the era.",650.0,700.0,True,success,Yasui rock tomb,Japan,success
14,7946,500 (circa),Found/Acquired: Shibayama dolmen,copper; silver,silvered; incised,,,,Late Kofun,Japanese,Japan,"This Late Kofun period kodogu, dating approximately to the year 500 CE, is a meticulously crafted sword fitting notable for its use of silvered and incised copper. This artifact, representative of Japanese material culture, exemplifies the technical sophistication of the era with its intricate silvering and engraving techniques. Discovered at the Shibayama dolmen, it is a testament to the ceremonial and practical applications of sword fittings in the Kofun period, reflecting the culture’s emphasis on craftsmanship in its weaponry and associated paraphernalia.",500.0,500.0,False,success,Shibayama dolmen,Japan,success
15,7958,650-700,Found/Acquired: Akasaka-cho (near),stoneware,ash-glazed,"Inscription type: inscription Inscription language: English Inscription quoted: Akasaka, Mino dolmens on hills behind town",,,Late Kofun,Japanese,Japan,"This Late Kofun period tsubofuta, crafted between 650-700 CE, serves as the lid of a jar and exemplifies the refined ceramics of ancient Japan. Made from high-fired stoneware, it features a coiled knob placed centrally and is adorned with a natural ash glaze, a technique indicative of the time that enhances its aesthetic and functional qualities. The lid bears an English inscription referencing ""Akasaka, Mino dolmens on hills behind town,"" suggesting a cultural or geographical connection possibly related to its findspot. Discovered near Akasaka-cho, this piece reflects the enduring legacy of the Late Kofun culture in Japan, particularly in ceramic traditions.",650.0,700.0,True,success,Akasaka-cho,Japan,success
16,8058,650-700,Found/Acquired: Misaoyama Dolmen,stoneware,ash-glazed; pierced,"Inscription type: inscription Inscription position: label on foot Inscription language: English Inscription quoted: Misaoyama, Bizen from dolmens. From CSuicho. Inscription note: Handwritten.",,,Late Kofun,Japanese,Japan,"This Late Kofun pedestal vessel, dating from 650-700 CE, serves as a remarkable example of Japanese stoneware used for serving rice wine, known as daitsuki hasou. Crafted from high-fired stoneware, it features a natural ash glaze that highlights its aesthetic appeal. The vessel boasts a globular body, with a round perforation on one side designed for a bamboo spout, and has a distinctive long neck that broadens into a wide mouth accented by a ridge below the rim. It is supported by a short pedestal that expands towards the foot. A handwritten English inscription is found on a label on the foot, which reads ""Misaoyama, Bizen from dolmens. From CSuicho,"" indicating its provenance. This artifact was found at the Misaoyama Dolmen in Japan, offering insights into the funerary practices and material culture of the Late Kofun period.",650.0,700.0,True,success,Misaoyama Dolmen,Japan,success
17,8062,550-600,Found/Acquired: Hattorigawa,stoneware,ash-glazed; tataki,"Inscription type: inscription Inscription language: English Inscription quoted: 1886/2/13 Hattorigawa (Kawachi), Febr. 13/86",,,Late Kofun,Japanese,Japan,"This Late Kofun period pedestal jar, known as a daitsuki yuugai tsubo, was crafted between 550-600 CE in Japan. Made of high-fired stoneware, this jar exhibits a natural ash glaze, giving it a distinctive finish. Its globular body features a neck that widens towards the mouth with an inclined rim designed to secure a lid, while the pedestal base expands towards a fragmented foot. The exterior displays tataki matted paddle marks, with corresponding anvil marks visible on the inside. An English inscription notes ""1886/2/13 Hattorigawa (Kawachi), Febr. 13/86,"" marking its findspot at Hattorigawa. This piece exemplifies the utilitarian and artistic craftsmanship characteristic of the Late Kofun period.",550.0,600.0,True,success,Hattorigawa,Japan,success
18,8097,450-500 (circa),Found/Acquired: Shibayama dolmen,bronze; gold,gilded,,,,Middle Kofun,Japanese,Japan,"This quiver fitting, originating from the Middle Kofun period in Japan and dated circa 450-500 CE, exemplifies the sophisticated craftsmanship of the era through its use of gilt bronze. The fitting, a component of a quiver, was skillfully gilded, showcasing the amalgamation of bronze and gold, which underscores the aesthetic and functional priorities of this historical period. It was discovered at the Shibayama dolmen, a significant archaeological findspot that offers insights into the burial practices and martial culture of ancient Japan. This artifact reflects the intricate metallurgical techniques and the cultural significance tied to the martial elite of the Kofun period.",450.0,500.0,True,success,Shibayama dolmen,Japan,success
19,8127,450-500 (circa),Found/Acquired: Shibayama dolmen,bronze; gold,gilded,,,,Middle Kofun,Japanese,Japan,"This quiver fitting, dating approximately from 450-500 CE, originates from the Middle Kofun period in Japan. The artifact is crafted from bronze and features a gilded surface, showcasing the sophisticated metalworking techniques of the era. Its discovery in the Shibayama dolmen highlights its cultural significance, as quiver fittings were often associated with the burial practices and status of individuals during the Kofun period. This piece serves as a testament to the artistry and ceremonial customs of ancient Japanese society.",450.0,500.0,True,success,Shibayama dolmen,Japan,success
20,8148,700-750,Found/Acquired: Akasaka-cho (near),stoneware,ash-glazed,"Inscription type: inscription Inscription language: English Inscription quoted: Akasaka, dolmen near",,,Late Kofun,Japanese,Japan,"This Late Kofun period sagebe, a hanging jar dating from 700-750 CE, exemplifies the high-fired stoneware craftsmanship of Japan. The jar features a circular body with one side flattened and the other spherical, lending a distinctive and intriguing form. It is adorned with a natural ash glaze, indicative of traditional Japanese glazing techniques. The short neck flares into a wide mouth, and the addition of round knobs on the shoulder serves as stylized jug handles. An inscription in English mentions ""Akasaka, dolmen near,"" providing context to its provenance or possible site of acquisition. Discovered near Akasaka-cho, this artifact offers a glimpse into the utilitarian and artistic expressions of Late Kofun Japan, reflecting the era's sophisticated ceramic traditions.",700.0,750.0,True,success,Akasaka-cho,Japan,success
21,8152,490-510,Excavated/Findspot: Toyonaka-shi (Taikozuka dolmens at Sakuraidani),stoneware,tataki,,,,Late Kofun,Japanese,Japan,"This artifact is a Late Kofun period sarcophagus dating from 490-510 CE, meticulously crafted from reddish stoneware. The sarcophagus exhibits a plain rectangular form with a distinctive roof-shaped cover, featuring two circular holes at the ends, each fitted with stoppers. It is supported by eighteen cylindrical feet, with six small holes pierced on each side, suggesting functional or symbolic significance. The interior displays tataki markings, a technique notable in Japanese pottery of the time. Unearthed from the Taikozuka dolmens at Sakuraidani in Toyonaka-shi, Japan, this sarcophagus provides valuable insights into the funerary practices and material culture of the Late Kofun period, reflecting the era's craftsmanship and ritualistic customs.",490.0,510.0,True,success,Toyonaka-shi,Japan,success
22,8193,500 (circa),Found/Acquired: Shibayama dolmen,copper; silver,silvered; incised,,,,Late Kofun,Japanese,Japan,"This Kodogu, originating from the Late Kofun period around the 6th century CE, is a sword binding crafted from copper and elegantly enhanced with silvering and intricate incisions. Reflective of the period's metallurgical and artistic skills, this artifact exemplifies the craftsmanship involved in adorning functional objects with aesthetic considerations during this era. It was uncovered at the Shibayama dolmen in Japan, a locale known for its historical burial sites associated with the Kofun culture, further emphasizing its archaeological significance within the context of ancient Japanese martial accouterments.",500.0,500.0,False,success,Shibayama dolmen,Japan,success
23,8213,650-700,Found/Acquired: Akasaka-cho (Tsukimi-yama),stoneware,ash-glazed,Inscription type: inscription Inscription position: paper slip attached to pedestal Inscription language: Japanese Inscription quoted: 発掘人赤坂村堤庄八　同村　　　同村松尾淺吉売買人赤坂村清水甚吉」　不破郡赤坂村　々有他　家月見山第四墳台付皿壱固　再度買取人　久瀬村　長岡善蔵　高三寸」; Inscription type: inscription Inscription quoted: Akasaka Mino Tsukimi-yama,,,Late Kofun,Japanese,Japan,"This Late Kofun period pedestal bowl, dating from 650-700 CE, exemplifies the artistry of high-fired stoneware with a natural ash glaze. Known as a takatsuki, the artifact features a shallow bowl with sides that expand gracefully towards the rim, resting atop a slender pedestal that broadens into a foot with a slightly raised edge. Accompanying the bowl is a paper slip inscribed in Japanese, linking it to individuals and locations associated with its excavation and provenance, including references to ""赤坂村"" (Akasaka village) and ""月見山"" (Tsukimi-yama). This piece was found in Akasaka-cho (Tsukimi-yama), offering valuable insights into the cultural and ceremonial practices of the Late Kofun period in Japan.",650.0,700.0,True,success,Akasaka-cho,Japan,success
24,8222,750-800,Found/Acquired: Hattorigawa,stoneware,incised,"Inscription type: inscription Inscription quoted: Hattorigawa Kawachi, 13/2/86",,,Late Kofun,Japanese,Japan,"This late Kofun period stoneware artifact, produced between 750-800 CE, is a lid of a Takatsuki, or pedestal bowl, showcasing the refined craftsmanship of ancient Japan. Fashioned from dark grey high-fired stoneware, the lid features a prominent knob and intricate decorative incisions, including two concentric grooves encircling it, with a band of oblique strokes artfully nestled between them. An inscription, reading ""Hattorigawa Kawachi, 13/2/86,"" is present, potentially indicating the site of discovery or other contextual details. Unearthed at Hattorigawa in Japan, this relic provides valuable insight into the artisanal techniques and cultural expressions of the Late Kofun period, enriching our understanding of Japan's historical and artistic heritage.",750.0,800.0,True,success,Hattorigawa,Japan,success
25,8230,600-630,Found/Acquired: Ryoseki (Sasawara dolmen),stoneware,ash-glazed; pierced,Inscription type: inscription Inscription language: English Inscription quoted: Riyosekimura (Tosa) from Dr.Naumann,,,Late Kofun,Japanese,Japan,"This artifact is a Takatsuki, a pedestal bowl segment from the Late Kofun period, dated 600-630 CE and originating from Japan. The piece, made of high-fired stoneware, features the foot section of the pedestal bowl with a fragment of the bowl's base still attached. It is distinguished by a natural ash glaze, a technique that involves allowing the ash from wood-fired kilns to settle and create a glassy surface. The pedestal itself expands towards the foot, with a vertically arranged pair of perforations on each side, indicative of the period's pottery design aesthetics. An inscription in English credits Dr. Naumann and mentions ""Riyosekimura (Tosa),"" possibly providing a clue to the item's historical study or discovery. This remarkable piece was found at the Ryoseki dolmen in Sasawara, offering valuable insights into the practices and artistry of Kofun-era ceramicists.",600.0,630.0,True,success,Ryoseki,Japan,success
26,8246,794-795,Found/Acquired: Nijo-jo,stoneware,glazed,,,,Heian Period,Japanese,Japan,"This collection of five roof-tile fragments, crafted in green glazed stoneware, hails from the illustrious Daigokuden and dates back to 794-795 CE, during Japan's Heian Period. As architectural remnants, these tiles provide a tangible link to the opulent structures of their time, reflecting the sophisticated tile production techniques employed for imperial buildings. Glazed to a rich green hue, these fragments contribute valuable insights into the aesthetic and functional considerations of early Japanese architecture. Unearthed at Nijo-jo, they offer a glimpse into the material culture and architectural advancements of Japan's capital cities in the late 8th century.",794.0,795.0,True,success,Nijo-jo,Japan,success
27,8273,650-700,Found/Acquired: Akasaka-cho,stoneware,ash-glazed,"Inscription type: inscription Inscription language: English Inscription quoted: Akasaka, dolmens. Hills behind town. Prov. Mino",,,Late Kofun,Japanese,Japan,"This Late Kofun period tsuki, dating from 650-700 CE, is a shallow dish crafted from high-fired stoneware and characterized by a natural ash glaze. It features a flat base and steep sides, reflecting the ceramic techniques and aesthetic preferences of the era in Japan. An inscription, rendered in English, refers to ""Akasaka, dolmens. Hills behind town. Prov. Mino,"" providing context and hinting at the geographical significance and possible location of discovery. This intriguing artifact was found in Akasaka-cho, Japan, offering insights into the material culture and everyday objects of the Late Kofun period.",650.0,700.0,True,success,Akasaka-cho,Japan,success
28,8280,250-600,Found/Acquired: Omi-Hachiman,stoneware; lacquer,lacquered,,,,Kofun Period,Japanese,Japan,"This exquisite tsuki, or dish, hailing from the Kofun Period of Japan, was crafted between 250-600 CE. Fashioned from high-fired stoneware, the dish presents as a shallow bowl with sides gracefully expanding towards the upper rim, embodying the elegant simplicity of early Japanese ceramics. Noteworthy is its repair using the traditional kintsugi technique, where gold lacquer is used to mend the dish, celebrating rather than concealing its imperfections. This method not only restores utility but also enhances its aesthetic, illustrating the Japanese philosophy of finding beauty in imperfection. The dish was discovered in Omi-Hachiman, offering a glimpse into the material culture and artistic practices that flourished during this period in Japan.",250.0,600.0,True,success,Omi-Hachiman,Japan,success
29,8833,575BC-550BC (circa),Excavated/Findspot: Naukratis,pottery,painted; incised,,siren (possibly); bird (possibly),,Attic; Archaic Greek,Greek,Greece,"This artifact is a handle plate from an Attic black-figured pottery column-krater, dating circa 575-550 BC, representative of the Archaic Greek period. The plate, made from pottery, exhibits a glazed streaky black underside and features a stepped zigzag pattern along its outer edges. The top of the handle plate showcases a black-figure decoration depicting a bird or possibly a siren facing left, though the head is missing, adorned with added red detailing on the chest, wing, and tail. The application of painting and incision techniques reflects the distinctive artistic practices of the time. This piece was excavated in Naukratis, an important cultural and trading center of ancient Greece, offering insights into the interplay of Greek art and commerce.",-575.0,-550.0,True,success,Naukratis,Egypt,success
30,8907,525BC-475BC,Excavated/Findspot: Naukratis,pottery,painted,"Inscription type: inscription Inscription position: lip Inscription language: Greek Inscription quoted: ]ος:[ Inscription note: Post-firing graffito. Punctuation not fully preserved, presumably three-dot.",classical deity,Named in inscription: Apollo (?),Attic; Archaic Greek,Greek,Greece,"This artifact is a concave lip and wall sherd from an Attic black-glazed pottery cup, classified as type C, dating from 525-475 BC, during the Archaic Greek period. The piece features a sharply offset lip both internally and externally, which is thickened at the rim and entirely covered in a glossy black glaze. An inscription, rendered in Greek as a post-firing graffito, is located on the lip, although it is partially preserved and believed to contain a three-dot punctuation. The inscription tentatively names the classical deity Apollo, suggesting the vessel's potential religious or cultural significance. This pottery fragment was excavated at Naukratis, providing valuable insight into the exchange and influence of Greek culture across regions.",-525.0,-475.0,True,success,Naukratis,Egypt,success
31,8931,550BC-530BC (circa),Excavated/Findspot: Naukratis (possibly),pottery,painted; incised,,bird (possibly); siren (possibly),,Attic; Archaic Greek,Greek,Greece,"This tondo and stem sherd originates from an Attic black-figured pottery vessel, likely a type A cup, crafted during the Archaic Greek period circa 550-530 BCE. The interior decoration features a black-figure depiction of a bird or siren facing right, with distinct characteristics such as the body, outspread wings, one leg, and added red on the wing bands. A series of faded white dots adorns the underbelly, suggesting intricate detailing. The vessel's exterior displays a red fillet joining the bowl and stem, while the stem itself is glazed both inside and out. The underside is reserved with a red band at the top of the stem, accentuating its form. Composed of pottery and showcasing the painted and incised technique characteristic of the Attic style, this fragment offers insight into the artistic traditions of the time. It was possibly excavated at the ancient site of Naukratis, underlining its historical significance within Greek material culture.",-550.0,-530.0,True,success,Naukratis,Egypt,success
32,8938,525BC-500BC (circa),Excavated/Findspot: Naukratis,pottery,painted; incised,,classical deity,,Attic; Archaic Greek,Greek,Greece,"This rim sherd of an Attic black-figured Type A cup, dating from around 525-500 BC, exemplifies the sophisticated artistry of Archaic Greek pottery. Crafted from pottery and employing both painted and incised techniques, this artifact features a striking black-figure exterior decoration, with a double ivy leaf frieze above a depiction of Dionysos, the classical deity. The rim's interior displays a reserved band, with the glaze fired to a reddish hue below. The representation of Dionysos shows his upper body cloaked, holding a horn, and likely extending a vine tendril. The field is further adorned with vine motifs, emphasizing the god's association with wine and revelry. This piece was excavated in Naukratis, a significant Greek trading post in Egypt, highlighting the cultural exchange between Greece and Egypt during this period.",-525.0,-500.0,True,success,Naukratis,Egypt,success
33,9178,500BC,Excavated/Findspot: Nola,pottery,painted; incised,,classical deity; mythical figure/creature; musician,Representation of: Apollo;  Representation of: Dionysos/Bacchus;  Representation of: Hermes/Mercury;  Representation of: Maenads,Attic; Archaic Greek,Greek,Greece,"This Archaic Greek hydria, dating to 500 BC, is a prime example of Attic pottery, characterized by its black-figure design set against a red panel backdrop, accentuated with purple and white accessories. The artwork features a striking depiction of divine and mythical figures: on the left, Dionysos is portrayed moving rightward, adorned with long hair, a beard, an ivy wreath, and wearing a long white chiton and himation. At the center, Apollo Citharoedos appears beardless with a laurel wreath, elegantly strumming a chelys using a plectrum, while drapery hangs from the instrument. Flanking Apollo are two suggested Maenads, clad in decorative chitons and himatia, indicative of their role as followers of Dionysos. Completing the scene on the right is Hermes, rendered with a backward glance, dressed in a short white chiton, chlamys, petasos, and endromides, and holding his iconic caduceus. The scene is intricately enhanced by a double honeysuckle motif above and bordered by a network pattern along the sides. This hydria was unearthed in Nola and exemplifies the artistry and mythological storytelling central to Greek ceramic work of the time.",-500.0,-500.0,False,success,Nola,Italy,success
34,9206,520BC (circa),Excavated/Findspot: Vulci,pottery,painted; incised,"Inscription type: inscription Inscription quoted: Λυσιππίδης καλός, Ρόδον καλέ",marriage/wedding; procession; warrior; horse/ass; charioteer/chariot; mythical figure/creature,Representation of: Achilles (?);  Representation of: Memnon (?);  Representation of: Antilochus (?),Attic; Archaic Greek,Greek,Greece,"This exquisite black-figured hydria, crafted around 520 BC during the Archaic Greek period, exemplifies Attic pottery through its intricate design and skilled craftsmanship. The vase is adorned with black designs set against a red panel, featuring accents in white and purple, and bordered by ivy motifs. On the shoulder of the hydria, a possible depiction of the mythological contest between Achilles and Memnon is presented, where the central figure, possibly Antilochus, lies flat and nude, while the armed warriors confront each other with spears and Boeotian shields, under the gaze of four spectating males holding wands. The main body showcases a marriage procession, highlighted by a quadriga carrying a male and female figure, both robed in opulent chiton and himation, accompanied by figures playing music and applauding. Inscribed with ""Λυσιππίδης καλός, Ρόδον καλέ,"" the piece also bears a frieze of animals below, featuring a siren flanked by a panther and a doe. This hydria was uncovered in Vulci, an Etruscan city known for its rich archaeological findings, enhancing our understanding of ancient Greek iconography and cultural interactions.",-520.0,-520.0,False,success,Vulci,Italy,success
