exhibit_number,id,Production date,Find spot,Materials,Technique,Inscription,Subjects,Assoc name,Culture,Section,Place,description,production_year_min,production_year_max,is_date_range,date_parse_status,find_spot_city,find_spot_country,location_parse_status
11,3245,600 BC-570 BC (mainly),Found/Acquired: Naukratis,glazed composition,mould-made; incised; pierced,Inscription type: inscription Inscription position: Underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: Hs xnsw Inscription translation: Praised by Khonsu,,Named in inscription: Khons,26th Dynasty,Ancient Egyptian,Egypt,"This artifact is a mould-made scarab from the 26th Dynasty of Ancient Egypt, dating between 600-570 BC. Crafted from a glazed composition, the scarab's back is simply detailed, featuring some indication of the clypeus, with single lines marking the prothorax and elytra. The sides display legs suggested through some modelling and undercut triangular shapes. Its underside is incised with a hieroglyphic inscription, although the glaze has been lost, leaving the cream core visible. The signs, despite erosion, are still recognizable and include motifs such as a sun-disc, men-draughtboard, hes-vase on the right, and a rpt-palm frond on the left. The inscription is vertically arranged and transliterates to ""Hs xnsw,"" meaning ""Praised by Khonsu,"" associating the scarab with the god Khonsu. This artifact was longitudinally pierced and discovered in Naukratis, offering insights into its function and cultural significance within the context of Ancient Egypt.",-600.0,-570.0,True,success,Naukratis,Egypt,success
12,3250,600 BC-570 BC (mainly),Excavated/Findspot: Scarab Factory,glazed composition,mould-made; incised; pierced; stamped (?),"Inscription type: inscription Inscription position: Underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: sʒ rʿ (?)
jmn rʿ (?) Inscription translation: Son of Ra (?)
Amun-Ra (?)",bird,Named in inscription: Amun-Ra (?),26th Dynasty,Ancient Egyptian,Egypt,"This miniature scarab, originating from the 26th Dynasty in Egypt and dating between 600 and 570 BC, is a mould-made artifact crafted from a glazed composition, although the glaze appears either lost or never applied, as noted in the Egypt Exploration Fund distribution list. The back is intricately modelled with a clypeus and head, with the prothorax and elytra delineated by single lines. The underside of this very crudely made piece features an incised or possibly stamped depiction of a bird, such as a goose or duck, accompanied by a sun disc above and a potential lotus flower to the right. Hieroglyphic inscriptions on the underside, possibly transliterated as ""sʒ rʿ"" (Son of Ra?) and ""jmn rʿ"" (Amun-Ra?), suggest religious or symbolic significance, potentially associated with Amun-Ra. The piece is longitudinally pierced, made from yellowish beige paste, with its surface notably abraded. It was excavated from the Scarab Factory, a site reflecting the prolific production and use of scarabs in ancient Egypt.",-600.0,-570.0,True,success,Scarab Factory,Egypt,success
13,3252,600 BC - 570 BC (mainly),Excavated/Findspot: Scarab Factory,glazed composition,mould-made; incised; pierced,"Inscription type: inscription Inscription position: underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: jmn-ra nb (?) Inscription translation: Amun-Ra is lord (?) Inscription note: Name of Amun-Ra written with yod-sign (shaped slightly like a Maat-feather), owl, sun-disc (small circle) and men-draughtboard signs, with additional debased signs (cross-shaped sign and a second small circle).",,Named in inscription: Amun-Ra,26th Dynasty,Ancient Egyptian,Egypt,"This artifact is a mould-made scarab from the 26th Dynasty, specifically dated between 600 and 570 BC, originating from Egypt. Crafted from glazed composition, the scarab boasts a rather well-modeled back, featuring incised lines delineating the clypeus, prothorax, and elytra, with the humeral callosities depicted as winglets. The sides reveal legs, expressed through broad incised lines forming a triangle, although they are not cut away. The underside of the scarab is adorned with an incised hieroglyphic inscription, transcribed as ""jmn-ra nb"" and translated to ""Amun-Ra is lord,"" showcasing the name of the deity Amun-Ra using a combination of hieroglyphs including a yod-sign, owl, sun-disc, men-draughtboard signs, and additional debased signs such as a cross-shaped sign and a second small circle. The glaze has been lost over time, revealing the creamy yellow core. This piece was uncovered at the site known as the Scarab Factory, contributing to our understanding of ancient Egyptian religious symbolism and craftsmanship.",-600.0,-570.0,True,success,Scarab Factory,Egypt,success
14,3262,600 BC-570 BC (mainly),Excavated/Findspot: Scarab Factory,glazed composition,mould-made; incised; pierced,Inscription type: inscription Inscription position: Underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: Pa-dj-bastt Inscription translation: Padibastet,,Named in inscription: Padibast,26th Dynasty,Ancient Egyptian,Egypt,"This Ancient Egyptian scarab from the 26th Dynasty, dating between 600 and 570 BC, is a mould-made artifact crafted from glazed composition. The scarab's back is adorned with incised details, now mostly eroded, while the underside bears an incised hieroglyphic inscription of the name Padibastet. The piece is longitudinally pierced, hinting at its use as an amulet or personal ornament. Traces of its original pale green glaze survive, though the surface is much worn, revealing the underlying chalky white paste. This scarab, discovered at the ""Scarab Factory"" site in Egypt, offers a glimpse into the craftsmanship and cultural significance of such amulets in the society that revered them.",-600.0,-570.0,True,success,Scarab Factory,Egypt,success
15,3271,600 BC - 570 BC (mainly),Excavated/Findspot: Naukratis,glazed composition,mould-made; glazed; incised; stamped (possibly); pierced,Inscription type: inscription Inscription position: underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: jmn (?) Inscription translation: Amun (?) Inscription note: Possibly meant as a cryptic way to write Amun.,bird,Named in inscription: Amun (?),26th Dynasty,Ancient Egyptian,Egypt,"This mold-made scarab from the 26th Dynasty of Ancient Egypt, dating approximately between 600 BC and 570 BC, is crafted from glazed composition. Its back is intricately designed, featuring a modeled clypeus, head, and a prothorax, with the elytra defined by simple lines and small triangles marking winglets. The underside of the scarab is decorated with a vertically arranged motif comprising a sun disc and a falcon holding a flail above a neb-basket sign, a motif possibly stamped rather than incised. The scarab is pierced lengthwise for suspension or attachment, although its glaze is now lost, revealing a yellowish-white paste and an eroded surface. The inscription on the underside, written in hieroglyphic script, is interpreted as jmn, possibly representing the god Amun in a cryptic manner. This artifact offers insight into the religious symbolism and craftsmanship of the period and was excavated at Naukratis, an important trading hub in ancient Egypt where Greek and Egyptian cultures intermingled.",-600.0,-570.0,True,success,Naukratis,Egypt,success
16,3281,664 BC - 525 BC (?),Excavated/Findspot: Naukratis,glazed composition,incised; undercut; pierced,Inscription type: inscription Inscription position: underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription translation: Praised by Hapy,ancient egyptian deity,Representation of: Hapy,26th Dynasty,Ancient Egyptian,Egypt,"This ancient Egyptian scarab, originating from the 26th Dynasty and produced circa 664-525 BCE, is a striking artifact crafted from glazed composition. Despite the glaze being lost, the cream-colored paste reveals its intricate details. The back of the scarab, though worn, retains its form with the clypeus still visible. It features well-modeled legs, enhanced by feathering on the front legs, and a distinctly marked undercut triangular space between the legs. The underside is incised with a rather crude depiction of the kneeling fertility figure Hapy, or a similar deity, noted for his prominent belly. He is crowned by a papyrus thicket and holding a Hes vase, a symbol of prosperity. The scarab is longitudinally pierced, possibly indicating its use as an amulet. The hieroglyphic inscription, ""Praised by Hapy,"" resonates with the religious and cultural significance of the period. Excavated in Naukratis, this artifact reflects the spiritual and artistic expressions of Ancient Egypt during the 26th Dynasty.",-664.0,-525.0,True,success,Naukratis,Egypt,success
17,3292,600 BC - 570 BC (mainly),Excavated/Findspot: Naukratis,glazed composition,mould-made (probably),Inscription type: inscription Inscription position: Underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: jmn (?) Inscription translation: Amun (?) Inscription note: Likely meant as a cryptic way to write Amun.,,Named in inscription: Amun,26th Dynasty,Ancient Egyptian,Egypt,"This ancient Egyptian scaraboid, dated to the 26th Dynasty between 600 and 570 BC, is crafted from a glazed composition and likely mould-made. The artifact presents a slightly domed and plain back with straight sides. Its underside features a crudely inscribed hieroglyphic inscription, read from right to left, depicting a sun-disc, yod-sign, and sw-plant sign. This inscription is believed to cryptically denote the god Amun, highlighting the sacred associations typical of the period's iconography. Excavated from the site of Naukratis in Egypt, the scaraboid offers insight into the devotional practices and artistic techniques of the era.",-600.0,-570.0,True,success,Naukratis,Egypt,success
18,3295,600 BC - 570 BC (mainly),Excavated/Findspot: Naukratis,glazed composition,glazed; mould-made; pierced; stamped,Inscription type: inscription Inscription position: underside Inscription script: hieroglyphic Inscription transliteration: jmn-ra (?) Inscription translation: Amun-Ra (?) Inscription note: Meant as a cryptic way to write Amun-Ra (?).,,Named in inscription: Amun-Ra (?),26th Dynasty,Ancient Egyptian,Egypt,"This artifact is a mould-made scaraboid from the 26th Dynasty of Egypt, dating between 600 and 570 BC. Crafted from a glazed composition, it exhibits a back shaped like a couchant lion, albeit crudely modeled, with discernible features such as the face and two front paws. The underside of the scaraboid reveals a stamped hieroglyphic inscription, which includes three sun discs, men, and crude 'n' signs, possibly serving a cryptographic function. This inscription is thought to reference the deity Amun-Ra, albeit in a cryptic representation. The glaze presents a distinct dirty green color, while the core of this piece remains obscured. Additionally, this artifact is pierced longitudinally. It was excavated from Naukratis, a significant ancient Greek trading post in Egypt, providing insight into the cultural exchanges and religious symbolism of the era.",-600.0,-570.0,True,success,Naukratis,Egypt,success
19,3296,600 BC - 570 BC (mainly),Excavated/Findspot: Naukratis,egyptian blue,incised (possibly),"Inscription type: inscription Inscription position: underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: nb-maat-[ra] Inscription translation: The Lord of Maat [is Ra] (?) Inscription note: Though it corresponds to the prenomen of Amenhotep III (Petrie 1889, pl. 61, no. 1959), it is also a popular motto on scarabs.",african; ancient egyptian deity,Representation of: Maat (possibly),26th Dynasty,Ancient Egyptian,Egypt,"This scaraboid, crafted between 600 and 570 BC during Egypt's 26th Dynasty, is a remarkable example of Ancient Egyptian artistry, molded in Egyptian blue to represent the head of a Black African. Its underside, possibly incised, features hieroglyphic signs arranged vertically, comprising the image of a squatting deity, likely the goddess Maat, along with the Maat feather above the neb-basket sign. The inscription, written in Egyptian hieroglyphs, transliterates to ""nb-maat-[ra]"" and translates to ""The Lord of Maat [is Ra],"" a common motto on scarabs that also corresponds to the prenomen of Pharaoh Amenhotep III. This artifact, found in Naukratis, provides valuable insight into the religious and cultural symbolism of ancient Egypt, emphasizing the role of Maat as a central figure of truth and balance.",-600.0,-570.0,True,success,Naukratis,Egypt,success
20,3299,600 BC - 570 BC (mainly),Excavated/Findspot: Naukratis,glazed composition,mould-made (probably); incised (possibly),Inscription type: inscription Inscription position: underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: jmn-ra Inscription translation: Amun-Ra,,Named in inscription: Amun-Ra,26th Dynasty,Ancient Egyptian,Egypt,"This remarkable artifact is a glazed composition daisy button scaraboid, originating from the 26th Dynasty of Ancient Egypt, crafted mainly between 600 BC and 570 BC. Likely mould-made, it is adorned on its back with decorative lines that may have been incised. The underside features a hieroglyphic inscription, expertly arranged to name the deity Amun-Ra, using the ancient Egyptian script. This piece is a testament to the religious and cultural practices of the time, underscoring the veneration of Amun-Ra in Egyptian society. It was discovered in Naukratis, an area known for its significant archaeological finds, providing valuable insight into the trade and interactions in the region during the Late Period of Egypt.",-600.0,-570.0,True,success,Naukratis,Egypt,success
21,3300,600 BC - 570 BC (mainly),Excavated/Findspot: Naukratis,glazed composition,mould-made (probably),Inscription type: inscription Inscription position: Underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: jmn-ra (?) Inscription translation: Amun-Ra (?) Inscription note: Likely meant as a cryptic way to write Amun-Ra.,,Named in inscription: Amun-Ra (likely),26th Dynasty,Ancient Egyptian,Egypt,"This scaraboid, dating from the 26th Dynasty of Egypt (circa 600-570 BC), is a refined artifact crafted from glazed composition, likely through mould-making techniques. The piece exhibits a slightly domed back with plain, straight sides, and its underside bears a crude yet intriguing hieroglyphic inscription. Comprising a Maat feather on the right and a sun-disc marking the left, framing a men-draughtboard sign, the inscription is thought to cryptically reference the god Amun-Ra. This piece, associated with the period's religious and cultural symbolism, was excavated at Naukratis, an ancient trade hub and melting pot of cultural interchange in Egypt. The cryptic inscription encapsulates the enigmatic artistry typical of this era, offering a glimpse into the spiritual and symbolic lexicon of the time.",-600.0,-570.0,True,success,Naukratis,Egypt,success
22,3304,600 BC - 570 BC (mainly),Excavated/Findspot: Naukratis,glazed composition,mould-made; glazed; incised (possibly); pierced; stamped (?),"Inscription type: inscription Inscription position: underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription note: The cross-shaped symbol between two discs could be interpreted as a debased version of wah-ib-Ra, the Horus name of Psamtek I, or nomen of Apries (Gorton 1996, 93).",bird,Representation of: Apries (?);  Named in inscription: Psamtek I (?),26th Dynasty,Ancient Egyptian,Egypt,"This artifact is a mould-made scaraboid, likely from the 26th Dynasty of Ancient Egypt, dated between 600 BC and 570 BC. Crafted from a glazed composition, the scaraboid's surface is noticeably eroded, with some remnants of a pale yellow glaze and a yellowish-white paste base. Its back appears very rubbed, potentially taking the form of a cowroid, and is pierced lengthwise. The underside is crudely decorated with a motif featuring a falcon holding a flail to the right and half a cartouche with three debased hieroglyphic signs to the left, possibly incised rather than stamped. A vertical line separates the inscription from the falcon. This inscription, written in hieroglyphics, includes a cross-shaped symbol between two discs which could be interpreted as a debased version of the Horus name of Psamtek I, or the nomen of Apries, reflecting potential royal associations. This intriguing piece was excavated from Naukratis, shedding light on both its artistry and historical significance.",-600.0,-570.0,True,success,Naukratis,Egypt,success
23,3306,600 BC - 570 BC (mainly),Excavated/Findspot: Naukratis,glazed composition,cut; incised,"Inscription type: inscription Inscription position: underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: šw sʒ rʿ (?)		 
jmn rʿ (?)
jmn (?) Inscription translation: Shu, son of Ra (?)
Amun-Ra (?)
Amun (?)",bird,Named in inscription: Amun-Ra (?);  Named in inscription: Shu (?);  Named in inscription: Amun (?),26th Dynasty,Ancient Egyptian,Egypt,"This scaraboid from the 26th Dynasty of Ancient Egypt, produced circa 600-570 BC, is a fascinating artifact crafted from glazed composition. The artifact is uniquely designed with the back in the form of a Black African head, featuring hair represented by squares and crudely cut facial features. Its underside is inscribed with incised hieroglyphs arranged horizontally, depicting symbols such as the Maat feather, a walking goose or duck, and a sun-disc. The object is created in black paste, with glaze absent due to either loss or lack of application, resulting in a quite eroded surface. The inscription, rendered in Egyptian hieroglyphs, intriguingly references deities such as Shu, son of Ra, and Amun-Ra, as well as Amun, highlighting its possible symbolic significance. This object was excavated in Naukratis, offering insights into the mélange of cultural influences in Ancient Egypt and the interplay of art and religion within the society.",-600.0,-570.0,True,success,Naukratis,Egypt,success
24,3309,600 BC - 570 BC (mainly),Excavated/Findspot: Scarab Factory (according to museum register),glazed composition,mould-made; incised (?); glazed; pierced; stamped (?),"Inscription type: inscription Inscription position: Underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: jmn-ra (?) Inscription translation: Amun-Ra (?) Inscription note: Very worn and debased inscription, so lecture is very hypothetical.",,Named in inscription: Amun-Ra (?),Late Period,Ancient Egyptian,Egypt,"This Late Period Egyptian artifact, dating primarily from 600 to 570 BC, is a mould-made, disc-shaped scaraboid crafted from a glazed composition. Its form is more flat than domed, featuring a plain back with straight sides, and a flat underside that reveals very worn and damaged decoration, suggesting a debased inscription that is difficult to discern. This worn inscription is likely in hieroglyphic script, tentatively referencing Amun-Ra. The artifact exhibits traces of a white to light green glaze with a yellow core and has suffered significant wear and chipping over time. A hole, slightly off-center, pierces the scaraboid's diameter, hinting at its possible use as an ornamental bead or amulet. The object was excavated from the site known as the Scarab Factory, in Egypt, as recorded in the museum register, providing a glimpse into the small-scale production of such items during this era.",-600.0,-570.0,True,success,Scarab Factory,Egypt,success
25,3463,945BC-720BC,Found/Acquired: Egypt,glazed composition,glazed,Inscription type: inscription Inscription position: front Inscription script: hieroglyphic,,Named in inscription: Tentast,Third Intermediate,Ancient Egyptian,Egypt,"This exquisite shabti figure, originating from ancient Egypt during the Third Intermediate Period (945-720 BC), is crafted from a faded green glazed composition. It features intricate black detailing that has since turned purple. The artifact depicts Tentast, as identified by the hieroglyphic inscription on the front. The figure is adorned with a lappet-wig secured by a fillet, a modelled face, and crossed arms that hold two hoes, symbolizing its function in accompanying the deceased into the afterlife to perform agricultural labor. A seed-basket is prominently displayed on the back, further reinforcing its purpose. This artifact was found in Egypt, a testament to the rich funerary traditions and artistic prowess of the period.",-945.0,-720.0,True,success,Egypt,Egypt,success
