id,Production date,Find spot,Materials,Technique,Inscription,Subjects,Assoc name,Culture,Section,Place,description
8807,460BC (circa),Excavated/Findspot: Capua,pottery,painted,,satyr; classical deity; allegory/personification; mythical figure/creature; tree/bush,Associated with: Herakles/Hercules,Attic,Greek,Greece,"This Attic red-figured chous, dating to circa 460 BC, vividly portrays a satyr adopting the guise of Heracles in the Garden of the Hesperides, a classical theme drawn from Greek mythology. The scene is skillfully painted on pottery, showcasing a lively satyr with a short bushy beard and rough hair radiating from his crown, advancing in a mock-heroic pose. He brandishes a club defensively against an intricately coiled snake that assails the wine-bearer's covered left arm, doubled as a shield using a wine-skin draped around his neck. The composition is spirited, with purple-tinged leaves of a tree, which supports three suspended oinochoai, accentuating the vividness of the scene. The snake's tongue, hair of the satyr, and markings on the snake and askos are highlighted in brown. The decoratively transitional eye type and initial sketches suggest adjustments in the satyr's posture, adding layers to the narrative. The pottery is bordered below by maeanders interrupted by red cross squares and above by an anthemion pattern, while an inverted palmette decorates the lower part of the handle. This artifact, unearthed in Capua, offers a window into the Greek artistic tradition and its connection to mythological allegory."
9217,520BC-500BC,Excavated/Findspot: Vulci,pottery,painted; incised,,marriage/wedding; procession; battle; horse/ass; warrior; classical deity,Representation of: Hera/Juno;  Portrait of: Zeus/Jupiter;  Representation of: Apollo (?);  Representation of: Hermes/Mercury (?),Attic; Archaic Greek,Greek,Greece,"This exquisite Attic black-figured hydria, dating from 520-500 BC, exemplifies the artistry of Archaic Greece. Crafted from pottery, the hydria features intricate painted and incised designs on red panels, bordered by ivy motifs and accented with white and purple details. The shoulder of the vessel captures a dynamic battle scene, depicting a quadriga in motion, driven by a warrior armed with a shield bearing a tripod design. The chaotic energy continues with a fallen soldier underfoot, defended by two warriors with similarly adorned shields. Below, the body of the vase illustrates a marriage procession, possibly representing Hera and Zeus, accompanied by a harmonious ensemble that may include Apollo and Aphrodite, underscoring the importance of divine presence in such rituals. Ahead, Hermes may lead with his characteristic petasos and caduceus. Completing the narrative, a lion and boar face off twice below, emphasizing themes of power and conflict. Found in Vulci, this hydria offers a captivating glimpse into the cultural and mythological themes revered in Greek society."
9362,480BC-470BC (circa),Excavated/Findspot: Chiusi,pottery,painted,,musician; classical deity; religious object,Representation of: Apollo,Attic,Greek,Greece,"This exquisite Attic red-figured kylix, dating from approximately 480-470 BCE, is a testament to the artistry of ancient Greece. Crafted from pottery and adorned with painted scenes, the kylix features a compelling depiction of Apollo, the beardless classical deity, situated within the interior scene. Apollo, adorned with long, wavy hair and a laurel wreath, is portrayed seated on a diphros, clad in an himation around his legs, and playing a large kithara attached to his wrist with a sash decorated with ivy-leaf motifs. He extends a fluted phiale towards a half-seen, blazing altar styled as an Ionic column, symbolizing an altar of Apollo. The exterior scene captures a narrative of interaction; on one side, a woman, garbed in a long-sleeved chiton and an himation, approaches a bearded man offering an oinochoe, while a wreathed youth with a sceptre observes, all set against the backdrop of another Ionic column. On the opposing side, a continuation of this tableau shows partially preserved figures until only gestures remain, augmented by symbolic motifs such as a pair of hanging sandals and rolled tablets with a stylus. Details in purple, including tuning pegs, flames, and wreaths, accentuate the design, accompanied by a running maeander band within the interior and delicate afterthoughts like an exergue left in red. This vessel was unearthed in Chiusi, adding depth to our understanding of Attic craftsmanship and iconography associated with religious and musical themes."
9531,500BC-490BC,Excavated/Findspot: Fikellura grave 211,pottery,painted; incised,,satyr; mammal,,Attic,Greek,Greece,"This Attic black-figure lekythos, crafted between 500 and 490 BC in Greece, is an exquisite example of ancient Greek ceramic artistry. Made from pottery and executed with painted and incised techniques, the lekythos features a vivid scene depicting a deer flanked by two satyrs, a common motif reflecting the interplay between the natural and mythical worlds. The shoulder of the vessel is elegantly adorned with a series of rays, adding to its visual appeal. This artifact was uncovered in Fikellura grave 211, offering a glimpse into the burial practices and artistic preferences of the time. As part of the Greek section, this piece holds cultural significance, resonating with the aesthetics and mythological themes prevalent in Attic art."
9783,500BC (circa),Excavated/Findspot: Vulci,pottery,painted; incised,,mammal; mythical figure/creature,Representation of: Maenads,Attic,Greek,Greece,"This Attic black-figured oinochoe, dating to around 500 BCE, is a fine example of ancient Greek pottery characterized by its intricate painted and incised design. The vessel features a striking decoration in black on a red panel, with a lip ornamented by a chequer-pattern and the neck adorned with alternating palmettes and lotus-flowers, the palmettes being inverted. Below this, pomegranate buds and the use of white and purple accessories further enhance its visual appeal. The scene depicted is of a Maenad, a follower of Dionysus, elegantly seated on a bull moving to the right; she is shown with long hair, wearing a fillet and necklace, and dressed in a long-sleeved chiton patterned with purple spots while playing the crotala, or castanets. Vine-branches with grapes enrich the background, adding a touch of nature to the mythological tableau. This vessel was uncovered in Vulci, an area renowned for its rich archaeological finds, bringing to light the cross-cultural exchanges in Etruscan and Greek art."
9769,500BC-480BC,Excavated/Findspot: Nola,pottery,painted; incised,,dance; satyr; music; mythical figure/creature,Representation of: Maenads,Attic,Greek,Greece,"This Attic black-figured pottery oinochoe, dating from 500 to 480 BCE, exemplifies the artistry of ancient Greece through its intricate depiction of a Dionysiac thiasos. Crafted from pottery with painted and incised techniques, the vessel features a trefoil mouth and a vivid black design set against a white panel, bordered by a network pattern with subtle purple highlights. Central to the scene is a Satyr, his hair looped up, energetically playing the double flute, with the sybenè, or flute case, draped over his left arm. Flanking him are two Maenads, emblematic figures of Dionysian myth and culture, each elegantly adorned in chitons and a fillet, and one sporting a leopard skin, or pardalis, knotted at the front. They are captured in mid-dance, glancing back at the Satyr, with one Maenad engaging percussively through crotala. This captivating scene, set amidst the natural motif of branches, reflects the rich symbolic and cultural iconography of the era. The oinochoe was unearthed in Nola, providing important context to the spread and influence of Attic pottery throughout ancient Greece."
8891,500BC-480BC,Excavated/Findspot: Naukratis,pottery,painted; slipped,Inscription type: inscription Inscription position: in field Inscription language: Greek Inscription script: Greek Inscription quoted: HE[ Inscription translation: He[rakles] Inscription note: Pre-firing glaze dipinto.,mythical figure/creature; classical deity,Representation of: Herakles/Hercules,Attic; Archaic Greek; Classical Greek,Greek,Greece,"This rim sherd comes from an Attic White Ground pottery cup, dating from 500 to 480 BCE, a period bridging the Archaic and Classical phases of Greek art. The sherd is intricately adorned, featuring a sharply offset rim on the interior, glazed in black with the addition of a delicate white band. The exterior showcases a transition from black at the top of the rim to a vibrant painted scene below. This scene includes the tip of a spear on the left, suggesting the presence of Athena, while Herakles is prominently depicted to the right. Herakles, dressed in a lion's skin—meticulously detailed with dilute markings for fur, eyelashes, claws, and stippling—brandishes a club in his raised right hand. Further elements of the depiction include a circle around his pupil, anatomical details, and the strap of his sword belt, with the sword's hilt visible near his stomach. A leg of a tripod crosses his chest diagonally. Inscriptions in Greek, executed as a pre-firing glaze dipinto, are present in the field, and these likely reference Herakles (""He[rakles]""). This artifact, excavated from Naukratis, offers a glimpse into the rich iconography and mythological narratives prevalent in Attic pottery, exemplifying the cultural and artistic milieu of ancient Greece."
8934,500BC-490BC (circa),Excavated/Findspot: Naukratis (according to G&R Department register),pottery,painted,,satyr (possibly); vessel,,Attic; Archaic Greek,Greek,Greece,"This Attic red-figured pottery sherd, dating approximately to 500-490 BCE, represents the artistic conventions of Archaic Greek culture. This particular fragment, identified as a stem and tondo of a type A cup, notably lacks a disjunction between the bowl and stem, but features two scraped grooves on the stem above the foot-plate. The interior boasts a red-figure decoration depicting an ithyphallic figure, possibly a satyr, kneeling on its left leg and either raising or lowering an amphora. The attention to detail is evident in the use of dilute brown for markings on the figure's arms, body, and legs, and an accidental deposit of added red on the left calf. The preliminary sketchwork enhances the dimensionality of the scene. The exterior is glazed black, with the top of the inside of the stem reserved and glazed below. Discovered in Naukratis, according to the Greek and Roman Department register, this sherd offers valuable insight into the ceremonial or symbolic use of such vessels within ancient Greek society."
8799,570BC-560BC (circa),Excavated/Findspot: Naukratis,pottery,slipped; painted,,sphinx,,East Greek; Archaic Greek,Greek,Greece,"This body sherd is from an East Greek, Archaic Greek pottery chalice, specifically crafted in the Chian Simple Animal Style, circa 570-560 BCE. Made of pottery with a white slip, the interior features a streaky black glaze accentuated by two added white bands, demonstrating the sophisticated aesthetic techniques of the period. The exterior bears a painted decoration of a sphinx, positioned to the right, with its rump, chest, and part of the wing visible, indicating its significance in Greek mythology as a symbol of power and mystery. This artifact was unearthed at Naukratis, a prominent trading hub in ancient Egypt, underscoring the cross-cultural exchanges between Greek and Egyptian civilizations during the Archaic period."
10129,515BC-505BC (circa),Excavated/Findspot: Todi,pottery,painted,Inscription type: inscription,war; classical mythology; classical deity; mythical figure/creature,Representation of: Ajax;  Representation of: Hector;  Representation of: Athena/Minerva,Attic,Greek,Greece,"This Attic red-figured stamnos, dating from circa 515-505 BCE, vividly depicts scenes from classical mythology. Crafted from pottery and adorned through the painted technique, the vessel features two dynamic scenes. On one side, the goddess Athena intervenes between the warriors Ajax and Hector, each portrayed in a combat stance with spears and shields. Ajax, identified by the inscription ΑIAΣ, is shown bearded with a helmet tilted back, clad in a chiton, cuirass, and greaves. Hector, whose name is inscribed in retrograde as 'Έκτωρ, bears a shield emblazoned with a Pegasos silhouette, although his face is missing. Athena, depicted with a raised arm in a gesture of prohibition, is dressed in a long chiton and mantle, her name inscribed as Ά]θήναα. The painter, Smikros, has also inscribed his signature on the vessel. On the reverse, a combat scene unfolds over a fallen warrior, with warriors identified as Ευρ[ύ]μαχ[ο]ς and others. The stamnos is further embellished with purple inscriptions and decorative bands of palmettes, key patterns, tongues, and rays. Excavated from Todi, this piece is a remarkable representation of Greek artistry and mythology."
9797,480BC-470BC,Excavated/Findspot: Fikellura grave 61,pottery,painted; incised,,satyr; mythical figure/creature,,Attic,Greek,Greece,"This Attic black-figure oinochoe, dating from 480-470 BC, exemplifies the exquisite artistry of ancient Greek pottery. Crafted from pottery and employing both painted and incised techniques, the vessel features a trefoil mouth and presents a vibrant depiction of a draped maenad moving to the right, glancing back at a bearded nude satyr. This interaction between mythical figures, a hallmark of Dionysian imagery, underscores the cultural and symbolic narratives prevalent in ancient Greece. Despite a missing rim fragment, the oinochoe remains a remarkable testament to Attic craftsmanship. It was excavated from Fikellura grave 61, shedding light on the burial practices and the artistic legacy of the region during this period."
8957,610BC-580BC (circa),Excavated/Findspot: Naukratis,pottery,painted; slipped; incised,,sphinx,,East Greek; Archaic Greek,Greek,Greece,"This upper body sherd originates from a Chian black-figured Sphinx and Lion Style pottery dinos, dating approximately between 610 and 580 BCE. As an exquisite example of East Greek, particularly Archaic Greek pottery, it is crafted from pottery material and demonstrates intricate painted, slipped, and incised craftsmanship. The exterior of this sherd features a decorative frieze with sphinxes facing left. Notably, the tail of the first sphinx is discernible, while a seated sphinx is depicted despite missing its top and forelegs. The detailed artistry includes added red on the hair, wing, underbelly, and haunches, with incised rosettes and pendant rosettes having red centers serving as filler ornamentation. Additional bands cap an incised pendant rosette with a red center located in the lower frieze. This piece was unearthed from the site of Naukratis, shedding light on the shared cultural and artistic dynamics between Greece and the ancient communities of North Africa."
8444,600BC (circa),Excavated/Findspot: Naukratis,pottery,painted; incised,,sphinx (possibly); siren (possibly),,Attic; Archaic Greek,Greek,Greece,"This neck sherd originates from an Attic black-figured pottery amphora, crafted around 600 BC, during the Archaic Greek period. The fragment features a distinct black-figure decoration, portraying what might be a sphinx or siren, with only the curl of the wing and a portion of the head—adorned with added red pigment and a red fillet—still visible. Above the depiction, two black bands provide a striking contrast, while a blob rosette filled with red serves as an ornamental element in the composition. The pottery is made from traditional clay and exhibits techniques of painting and incision, typical of the era's ceramic craftsmanship. This artifact was unearthed in Naukratis, a significant trading hub in ancient Greece that facilitated cultural exchanges between Greek and Egyptian civilizations, thus providing a rich context for this piece."
9375,490BC-460BC,Excavated/Findspot: Fikellura grave 254,pottery,painted; incised,,satyr; classical mythological figure/creature; equestrian,,Attic; Classical Greek,Greek,Greece,"This Attic Classical Greek pottery kylix, dating from 490 to 460 BCE, is a remarkable example of black-figure technique, both painted and incised. The interior depicts a draped maenad holding a circlet, while the exterior features dynamic scenes involving draped figures—some moving to the right, others riding donkeys, and on the left, a satyr harasses another draped figure. This intricate imagery, characteristic of classical mythology, brings to life the interactions between humans and mythical creatures. Crafted from pottery, this kylix exemplifies the artistic sophistication of the period despite a rim fragment being absent. The vessel was unearthed from grave 254 at Fikellura, offering a fascinating glimpse into ancient Greek funerary practices and the culture's rich mythological tapestry."
9766,500BC-480BC,Excavated/Findspot: Fikellura grave 95,pottery,painted; incised,,classical deity; mythical figure/creature,Representation of: Herakles/Hercules (?);  Representation of: Cretan Bull (?);  Representation of: Theseus (?);  Representation of: Bull of Marathon (?),Attic,Greek,Greece,"This Attic oinochoe, dating from 500 to 480 BCE, is a striking example of black-figure pottery featuring a trefoil mouth. Despite its rather worn and coarse style, the design remains captivating, with black figures set against a red panel, adorned with a border of dots above and highlighted with white accessories. The scene depicts a dramatic moment from Greek mythology: a nude, beardless male figure struggling to subdue a bull, potentially representing the legendary Heracles with the Cretan bull or Theseus with the Bull of Marathon. The bull is depicted having fallen forward onto its head and forelegs, while in the surrounding field, branches hang with items such as a chlamys, club, bow, and quiver, adding depth to the narrative. Crafted using painted and incised techniques, this vessel was excavated from Fikellura grave 95, providing a glimpse into ancient Greek burial practices and mythological symbolism."
8925,510BC-480BC ((Beazley archive : 550BC-500BC)),Excavated/Findspot: Naukratis,pottery,painted,,satyr,,Attic; Archaic Greek,Greek,Greece,"This Attic silhouette style pottery sherd, originating from the Archaic Greek period between 510-480 BCE, possibly hails from a type A cup. It was produced using a painted technique on pottery material. The interior features a small reserved tondo adorned with a dynamic whirligig design of four frontal half-satyrs, depicted in silhouette style, forming a circle. Two satyrs raise their right hands, while the others stand with both hands on hips and elbows akimbo. The exterior of the cup is glazed in black, enhanced by a red band on the fillet at the top of the stem; the upper part of the interior of the stem is reserved, transitioning to black lower down. This artifact was unearthed in Naukratis, providing valuable insights into the trade connections and cultural interactions of ancient Greece."
10050,510BC (circa),Excavated/Findspot: Capua (?),pottery,painted,"Inscription type: inscription Inscription language: Greek Inscription script: Greek Inscription quoted: (a) ΕΠΙΚΤΕΤΟΣ ΕΓΡΑΦΣΕΝ, 'Επίκτητος έγραφσεν.
(b) ΠΙΣΤΟΣΞΕΝΟΣ EPOIEΣE, Πιστοξενος έποίησε. Inscription translation: Epiktetos made it
Pistoxenos painted it Inscription note: (b) is partially broken away. The Ν may have been originally painted in.",satyr; classical deity; horse/ass,Representation of: Dionysos/Bacchus,Attic,Greek,Greece,"This exquisite Attic pottery artifact is a red-figured skyphos, crafted around 510 BC. Featuring intricate paintings, side (a) depicts the god Dionysos, bearded and crowned with ivy, adorned in a long chiton with sleeves and a himation. He strides to the right, looking back, holding a cantharos and a vine with leaves and grapes, pursued by a partially obscured satyr and an ithyphallic ass. Side (b) showcases a bearded satyr, also wreathed with ivy and holding a thyrsos in each hand, amidst two ithyphallic, braying asses. The artistry is noted for its spirited drawing, small extremities, and mannered drapery, with purple used for inscriptions, wreaths, and vine leaves, and a separate brown body color for grapes. Greek inscriptions reveal the makers: Epiktetos as the painter and Pistoxenos as the creator, although part of the latter inscription is incomplete. This vibrant piece, capturing scenes rich with classical deities and symbolic animals, was likely excavated in Capua, Italy, and is a vivid representation of the cultural and mythological tapestry of ancient Greece."
9248,430BC (circa),Excavated/Findspot: Nola,pottery,painted,,classical deity; mammal,Representation of: Eros/Cupid,Attic,Greek,Greece,"This Attic red-figured hydria, dating circa 430 BC, presents a captivating scene featuring Eros and a fawn. The depiction shows Eros, characterized by short hair and a fillet with a point over his forehead, gracefully leaning with his left elbow on a raised knee while gently stroking a fawn that rests with folded legs on a rise of ground. In his left hand, Eros holds three sprigs or flowers. The artist's skill is evident, though certain elements display a transition towards a more casual execution. The use of purple adorns the fillet, sprigs, and ground lines, while brown marks are used for inner details, and the fawn's eye is rendered in a simple profile. Below the main imagery, a decorative strip features sets of three meanders interrupted by chequer squares, with the design extending to the shoulder of the vase. This vessel demonstrates the artistry and thematic preferences of the Greek cultural milieu, specifically from the Attic region. It was excavated in Nola, providing a glimpse into the dissemination and reception of Greek pottery beyond its origins."
9866,336BC-335BC (archonship),Excavated/Findspot: Caere (historic),pottery,painted; incised,"Inscription type: inscription Inscription language: Greek Inscription script: Greek Inscription quoted: ΤΟ[Ν]ΑΘΕΝΕΘΕΝΑΘΛΟΝ.
ΠΥΘΟΔΗΛΟΣΝΡΧΕΝ, Πνθόδηλος (η)ρχεν. Inscription translation: One of the prizes from Athens
(When) Pythodelos was archon Inscription note: Inscribed 'kionedon' (letters horizontal cf. vertical, but still down the column). Pythodelos was archon 336 B.C. For the use of ηρχεν cf. Evaiveτos ηρχεν, on the Lysicrates monument, C.I.Gr. 221.",athletics/running; classical deity; classical sport,Representation of: Athena/Minerva,Classical Greek,Greek,Greece,"This Classical Greek Panathenaic amphora, crafted between 336-335 BCE during the archonship of Pythodelos, is a remarkable piece of pottery featuring painted and incised decoration in black on a red ground with white accessories. The obverse displays an archaistic depiction of Athena standing in regal demeanor between two Ionic columns, her right arm brandishing a spear and a shield on her left, adorned with traditional elements such as a high-crested helmet, aegis, and ornate chiton. The columns feature intricate scenes, with the left depicting Triptolemos in a winged chariot drawn by snakes, and the right showcasing Nike holding a staff reminiscent of those used for trophies, each accompanied by Greek inscriptions reading ""One of the prizes from Athens"" and marking Pythodelos's archonship. The neck of the amphora is adorned with a double honeysuckle and elongated tongue pattern. On the reverse, the amphora captures the vigorous movement of a foot-race involving four armed, beardless warriors, each in helmets and equipped with distinctive shields. This amphora, excavated from the historic site of Caere, not only illustrates the artistic excellence of the period but also commemorates the athletic events and religious significance of the Panathenaic festival, with Athena in her role as a patron deity."
8900,520BC-500BC (circa),Excavated/Findspot: Vulci,pottery,painted,Inscription type: inscription,satyr; eroticism/sex,,Attic,Greek,Greece,"This Attic red-figured cup from circa 520-500 BC exemplifies the ceramic artistry of ancient Greece. Crafted from pottery and skillfully painted, the cup's interior highlights a vivid scene within a thin red circle, depicting a wreathed ithyphallic satyr kneeling to the right on a cushion. The satyr holds a large open bowl on his knees, with both hands resting inside it. Surrounding the satyr, the Greek inscription ""ΗΟΠΑΙΣ ΚΑΛΟΣ"" translates to ""the boy is beautiful,"" rendered in purple, which also colors the satyr's wreath. The figure features an archaic-style eye, characterized by an eyeball depicted as a dotted circle. This piece stands as a testament to the erotic and mythological themes prevalent in Greek pottery, offering insights into the cultural and social expressions of the time. The cup was excavated at Vulci, linking it to a significant archaeological site known for its wealth of Greek artifacts."
