exhibit_number,id,Production date,Find spot,Materials,Technique,Inscription,Subjects,Assoc name,Culture,Section,Place,description,production_year_min,production_year_max,is_date_range,date_parse_status,find_spot_city,find_spot_country,location_parse_status
11,8938,525BC-500BC (circa),Excavated/Findspot: Naukratis,pottery,painted; incised,,classical deity,,Attic; Archaic Greek,Greek,Greece,"This rim sherd of an Attic black-figured Type A cup, dating from around 525-500 BC, exemplifies the sophisticated artistry of Archaic Greek pottery. Crafted from pottery and employing both painted and incised techniques, this artifact features a striking black-figure exterior decoration, with a double ivy leaf frieze above a depiction of Dionysos, the classical deity. The rim's interior displays a reserved band, with the glaze fired to a reddish hue below. The representation of Dionysos shows his upper body cloaked, holding a horn, and likely extending a vine tendril. The field is further adorned with vine motifs, emphasizing the god's association with wine and revelry. This piece was excavated in Naukratis, a significant Greek trading post in Egypt, highlighting the cultural exchange between Greece and Egypt during this period.",-525.0,-500.0,True,success,Naukratis,Egypt,success
12,9178,500BC,Excavated/Findspot: Nola,pottery,painted; incised,,classical deity; mythical figure/creature; musician,Representation of: Apollo;  Representation of: Dionysos/Bacchus;  Representation of: Hermes/Mercury;  Representation of: Maenads,Attic; Archaic Greek,Greek,Greece,"This Archaic Greek hydria, dating to 500 BC, is a prime example of Attic pottery, characterized by its black-figure design set against a red panel backdrop, accentuated with purple and white accessories. The artwork features a striking depiction of divine and mythical figures: on the left, Dionysos is portrayed moving rightward, adorned with long hair, a beard, an ivy wreath, and wearing a long white chiton and himation. At the center, Apollo Citharoedos appears beardless with a laurel wreath, elegantly strumming a chelys using a plectrum, while drapery hangs from the instrument. Flanking Apollo are two suggested Maenads, clad in decorative chitons and himatia, indicative of their role as followers of Dionysos. Completing the scene on the right is Hermes, rendered with a backward glance, dressed in a short white chiton, chlamys, petasos, and endromides, and holding his iconic caduceus. The scene is intricately enhanced by a double honeysuckle motif above and bordered by a network pattern along the sides. This hydria was unearthed in Nola and exemplifies the artistry and mythological storytelling central to Greek ceramic work of the time.",-500.0,-500.0,False,success,Nola,Italy,success
13,6036,6000BC-5000BC,Excavated/Findspot: Arpachiyah,steatite,pierced,,cross,,Halaf,Mesopotamian,iraq,"This Halaf cultural artifact, dating from 6000 to 5000 BC, is a black steatite amulet intricately shaped like a Maltese cross. Designed for suspension, it features a pierced section likely intended for stringing or attachment, reflecting the utilitarian and symbolic functions of such objects in ancient Mesopotamian societies. The artifact's cross shape could suggest spiritual or protective significance within the Halaf culture. Discovered during excavations at Arpachiyah in present-day Iraq, this amulet offers a glimpse into the artistry and beliefs of early Neolithic communities in the region.",-6000.0,-5000.0,True,success,Arpachiyah,Iraq,success
14,6101,2100BC-2000BC,Excavated/Findspot: Ur (historic - city),chlorite,perforated,,mammal,,Third Dynasty of Ur,Mesopotamian,iraq,"This artifact is a green chlorite cylinder seal originating from the Third Dynasty of Ur, dated between 2100-2000 BC. It features a vivid contest scene, depicting two crossed lions engaged in combat with naked heroes. The design is executed in a simple and linear style, with the treatment of the figures' heads echoing the artistic conventions of Early Dynastic III seals. The seal is perforated with a small, straight hole, indicating its use as a means of personal identification or decoration. Despite the passage of time, the upper part of the lion and much of the scene remain visible, though a large chip and signs of erasure are present on one side. This seal was excavated from the historic city of Ur, modern-day Iraq, providing a tangible connection to the legendary cultural and historical landscapes of Mesopotamia.",-2100.0,-2000.0,True,success,Ur,Iraq,success
15,6147,800BC-750BC,Excavated/Findspot: Nineveh (historic - Iraq),chalcedony,wheel-cut; hand-modelled; drilled,,cattle; jewellery; sun/moon; arms/armour; equestrian; devotee/worshipper; planet/constellation,Representation of: Pleiades (?);  Emblem of: Marduk;  Emblem of: Nabu;  Emblem of: Sibitti (?),Neo-Assyrian,Mesopotamian,iraq,"This exquisite Neo-Assyrian blue chalcedony cylinder seal, dated between 800 and 750 BCE, hails from the renowned historic site of Nineveh in present-day Iraq. Crafted using wheel-cut, hand-modeled, and drilled techniques, the seal displays a vibrant scene beneath a multipartite winged disc, emblematic of the period's iconography. At the center, a cow is tenderly depicted suckling a calf, looking back at a leaping gazelle, while a gallant horseman advances below, guiding a horse adorned with a beaded harness and a triple-crested plume. This complex narrative continues with a kid animal below and a stately worshipper standing to the right, gesturing symbolically. The intricate design incorporates celestial elements such as a star, crescent, and the Pleiades, along with divine emblems of Marduk, Nabu, and possibly Sibitti. The meticulous detailing, from the horseman's fringed tunic and plume-evoking drill-holes to the symbolic trident, wedges, and spade, reflects the sophisticated artistry and religious symbolism of Neo-Assyrian culture. The seal's convex ends and slightly concave sides are bordered by thin lines, completing this masterful piece of Mesopotamian craftsmanship.",-800.0,-750.0,True,success,Nineveh,Iraq,success
16,6196,1837-1901 (setting),Excavated/Findspot: Kouyunjik (probably),chalcedony; gold,drilled,,mammal; mythical figure/creature; arachnid; bird; arms/armour; sun/moon; fish; deity; priest/priestess; devotee/worshipper,Associated with: Lady Layard,Neo-Assyrian; Late Babylonian,Mesopotamian,iraq,"This exquisite chalcedony cylinder seal, originating from the Neo-Assyrian to Late Babylonian period and possibly dating back to ancient Mesopotamia, is a captivating artifact both in form and detail. Crafted from pale-grey, clouded chalcedony, the seal depicts a dynamic scene characterized by a likely female worshipper with extended hands, standing opposite a beardless deity, presumed to be a goddess adorned with a globular, horned headdress and a detailed, tiered skirt. Adding to the mythical tableau is a bearded scorpion-man, whose form merges human traits with a bird or lion’s hindquarters, signified by distinctive drill-hole markings. Noteworthy within the composition are celestial and mythological symbols, including a crescent and a cross-legged table, along with a horizontally swimming fish and a possibly symbolic dagger or stylus. The seal is currently mounted as an earring, encased in a gold setting featuring a chevron design. This setting was added in the Victorian era, complementing a matching necklace and indicating a sophistication in craftsmanship. Though the original edges may have been filed for consistency with its pair, the caps obscure the seal’s ends, preserving its intricate quarry of motifs. This exceptional piece was discovered in Kouyunjik, Iraq, likely connected to Lady Layard, and serves as an emblem of ancient religious and artistic expression.",1837.0,1901.0,True,success,Kouyunjik,Iraq,success
17,6310,2600BC - 2300BC,Excavated/Findspot: South East Palace (Nimrud),lapis lazuli,engraved,,bird; mammal; vessel; eating/drinking,,Early Dynastic III,Mesopotamian,iraq,"This exquisite Early Dynastic III cylinder seal, crafted between 2600 and 2300 BCE, originates from the Mesopotamian region of Iraq. Fashioned from rich blue lapis lazuli, it is intricately engraved in two distinct registers. The upper register depicts a seated figure holding a cup or bowl, positioned before an eagle attacking a goat and a stag, while a hatched ornament elegantly separates this scene from the lower register. Below, the lower register features a table with two figures seated opposite each other, indulging in a drink from a large vessel through pipes, surrounded by symbolic motifs. Unearthed at the South East Palace in Nimrud, this artifact illuminates the complex social and ceremonial practices of its era, providing valuable insights into the cultural and artistic expressions of ancient Mesopotamian society.",-2600.0,-2300.0,True,success,South East Palace,Iraq,success
18,6369,2400BC-2200BC,Excavated/Findspot: Ur (historic - city),quartz,glazed,,fish; vessel,,Jemdet Nasr; Akkadian,Mesopotamian,iraq,"This exquisite Mesopotamian artifact is a sintered quartz cylinder seal, dating from 2400 to 2200 BCE, originating from the culturally rich Jemdet Nasr and Akkadian periods. The seal is adorned with traces of now red or black glaze, revealing a distinctive whitish core beneath. Its artistry is divided into two registers of geometric designs; the upper register features two pots and two fish, while the lower register presents cross-hatched lines flanked by a parallel border. Despite a sizeable chip missing from the seal, the intricate craftsmanship remains evident. The seal's provenance is significant, having been excavated from the historic city of Ur in modern-day Iraq, thus offering a glimpse into the intricate social and cultural practices of early Mesopotamian civilization.",-2400.0,-2200.0,True,success,Ur,Iraq,success
19,6396,645BC (c.),Excavated/Findspot: North Palace (Nineveh),gypsum,carved,,lotus; plant,,Neo-Assyrian,Mesopotamian,iraq,"This Neo-Assyrian gypsum door-sill, dating to approximately 645 BCE, is intricately carved to resemble a carpet, encapsulating the artistic finesse of the era. Adorned with two distinct borders, the outer perimeter showcases an alternating pattern of lotus flowers and buds, while the inner edge is lined with palmettes. These borders are elegantly separated by delicate rows of rosettes, motifs that also intricately adorn the central grid of the carpet design. Within the square sections, clusters of four lotus heads alternate charmingly with four buds or pods, exemplifying the rich botanical motif of the artifact. This beautifully crafted piece, excavated from the North Palace in Nineveh, Iraq, offers a glimpse into the decorative sensibilities of the Assyrian empire, highlighting the symbolic use of plant imagery in architectural elements.",-645.0,-645.0,False,success,North Palace,Iraq,success
20,6401,3300BC-3000BC,Excavated/Findspot: Ur (historic - city),stone,carved,,cattle,,Late Uruk,Mesopotamian,iraq,"This Late Uruk period stone artifact, dating from 3300-3000 BC, is a carved depiction of a calf, notable for its functional hole designed to accommodate a vertical post through its body. Reflective of Mesopotamian craftsmanship, this piece embodies cultural and symbolic attributes associated with cattle, a significant element in Uruk society. The artifact was excavated at the historic city of Ur, located in present-day Iraq, offering valuable insights into the material culture and artistic expressions of this ancient civilization.",-3300.0,-3000.0,True,success,Ur,Iraq,success
21,6403,6000BC-5000BC,Excavated/Findspot: Arpachiyah,stone,incised,,eroticism/sex,,Halaf,Mesopotamian,iraq,"This stone figurine, dating from 6000-5000 BC, originates from the Halaf culture, which flourished in ancient Mesopotamia, specifically in the region now known as Iraq. The artifact, unearthed at Arpachiyah, represents a schematic form with exaggerated sexual organs, featuring an incised pubic triangle and notably lacking arms. Crafted with incising techniques, it reflects the period's artistic expression concerning themes of eroticism and fertility. This figurine provides valuable insights into the societal and cultural norms of the Halaf people, illustrating the symbolic significance they placed on sexuality and reproduction.",-6000.0,-5000.0,True,success,Arpachiyah,Iraq,success
22,6409,900BC-800BC,Excavated/Findspot: Nimrud (?),limestone,carved; drilled (eye sockets),,cattle,,Neo-Assyrian,Mesopotamian,iraq,"This Neo-Assyrian limestone furniture finial, dating from 900-800 BCE, is a remarkable artifact carved into the shape of a calf's head. The skillful craftsmanship is evident in the finely carved features, notably the hollow, drilled eye sockets that give the object an expressive appearance. Such decorative elements were commonly used in furnishings to signify status and cultural symbolism, with cattle often representing abundance and strength in Mesopotamian culture. This piece was excavated, or possibly found, at the renowned archaeological site of Nimrud in Iraq, a location central to the Assyrian Empire. The use of white limestone and the distinctive artistic techniques employed reflect the rich cultural and artistic traditions of the Neo-Assyrian period.",-900.0,-800.0,True,success,Nimrud,Iraq,success
23,6419,2600BC-2500BC,Excavated/Findspot: Ur (historic - city),shell,incised; inlaid,,priest/priestess,,Early Dynastic III,Mesopotamian,iraq,"This Early Dynastic III artifact from Mesopotamia, dating between 2600 and 2500 BC, is an exquisite shell inlay with an incised design, depicting a standing figure engaged in a libation ritual, likely representing a priest or priestess. The intricate craftsmanship, achieved through incising and inlaying techniques, highlights the skill and artistry of ancient Mesopotamian artisans. This artifact was excavated from the historic city of Ur in present-day Iraq, offering a tangible connection to the religious and cultural practices of one of the world's earliest urban civilizations.",-2600.0,-2500.0,True,success,Ur,Iraq,success
24,6445,2141BC-2122BC,Excavated/Findspot: Ur (historic - city),limestone,high relief; carved,Inscription type: inscription Inscription note: Inscription of Utu Hegal.,sun/moon,Named in inscription: Utu-Hegal,Third Dynasty of Ur,Mesopotamian,iraq,"This artifact is a portion of a limestone monument from the Third Dynasty of Ur, dating between 2141-2122 BCE. It is crafted using high relief carving techniques, showcasing representations of the sun and moon positioned above an inscription. The inscription, partially preserved with eight lines, mentions Utu-Hegal, a significant figure from this era. The limestone composition lends a timeless quality to the piece, which embodies the symbolic importance of celestial bodies in the culture of ancient Mesopotamia. Excavated from the historic city of Ur, located in present-day Iraq, this monument provides invaluable insight into early Mesopotamian art and governance during a pivotal period of history.",-2141.0,-2122.0,True,success,Ur,Iraq,success
25,6459,2400BC-2200BC,Excavated/Findspot: Royal Cemetery (Ur),copper alloy; shell; aragonite; cornelian; lapis lazuli; gold; agate,drilled,,mythical figure/creature,,Akkadian,Mesopotamian,iraq,"This assemblage of artifacts from the Akkadian culture, dating from 2400-2200 BCE, was excavated at the Royal Cemetery of Ur, a site renowned for its rich historical significance in ancient Mesopotamia. It includes two fragments of copper alloy pins that have been rejoined, accompanied by a copper alloy hair-ring and a distinctly crafted aragonite or shell cylinder seal, notable for its central drilling. The seal artistically portrays a captivating contest scene featuring a long-haired bull-man, two antithetical human-headed bulls, and two bearded heroes in conflict, one adorned in a flat cap and both donning skirts, further accentuated with traces of copper staining on one side. Additionally, the find encompasses fourteen meticulously drilled beads comprised of six cornelian, four lapis lazuli, two gold, and one banded agate. These beads vary in form, with ten being barrel-shaped and three double conoid, as well as an additional copper alloy bead fragment. These objects, found collectively and catalogued together, provide a unique insight into the intricate artistry and symbolic motifs prevalent in Akkadian society.",-2400.0,-2200.0,True,success,Royal Cemetery,Iraq,success
26,6477,3300BC-3000BC,Excavated/Findspot: Warka (probably),stone,carved,,cattle; bird; costume/clothing; mesopotamian hero,,Late Uruk,Mesopotamian,iraq,"This Late Uruk stone cult vessel, dating from 3300 to 3000 BCE, is an intricate example of Mesopotamian artistry. The miniature vase is distinctly supported by a pair of hero figures, each adorned with belts, who are depicted grasping two bulls with birds precariously perched on their backs. These hero figures, possibly understood as protective spirits, suggest a cultural emphasis on safeguarding livestock, an integral aspect of ancient Mesopotamian life. Carved with precision, this piece exemplifies the ceremonial objects that typify the period, reflecting both artistic skill and religious significance. The vessel was excavated at Warka, a significant archaeological site in Iraq, providing further context to its historical and cultural dimensions.",-3300.0,-3000.0,True,success,Warka,Iraq,success
27,6506,6000BC-5000BC,Excavated/Findspot: Arpachiyah,limestone,incised; perforated,,,,Halaf,Mesopotamian,iraq,"This Halaf limestone stamp seal, dating from 6000 to 5000 BC, exemplifies early Mesopotamian craftsmanship with its flat, rectangular form and intricately incised compartmented geometric pattern on the base. A hole is pierced through the center and features a perforated lug at the back, though it is noted to be incomplete due to a broken lug. The seal bears deposits and possible abrasion marks, indicating extensive use or wear over time. This artifact, crafted through incising and perforation techniques, underscores the significance of symbolic seals in the Halaf culture. Unearthed at the archaeological site of Arpachiyah in Iraq, it offers a glimpse into the technological and artistic capabilities of one of the earliest known cultures within the Mesopotamian region.",-6000.0,-5000.0,True,success,Arpachiyah,Iraq,success
28,6512,6000BC-5000BC,Excavated/Findspot: Arpachiyah,steatite,incised; pierced (?),,leaf,,Halaf,Mesopotamian,iraq,"This Mesopotamian artifact, originating from the Halaf culture and dating between 6000-5000 BCE, is a white steatite stamp-seal, possibly also serving as an amulet. Shaped like a gable, the seal is intricately incised with a leaf design on its base. A broken pierced lug at the back suggests it may have been worn or suspended, although now it is chipped, abraded, and bears deposits from its age. The artifact's technique includes incised and possibly pierced detailing, revealing the skilled craftsmanship of the period. Excavated from Arpachiyah, this piece provides valuable insight into early decorative and symbolic practices in ancient Iraq.",-6000.0,-5000.0,True,success,Arpachiyah,Iraq,success
29,6543,5900BC-4000BC,Excavated/Findspot: Ur (historic - city),stone,pierced; engraved,,,,Ubaid,Mesopotamian,iraq,"This Ubaid-period stamp seal, dating from 5900 to 4000 BCE, is crafted from grey stone and features a gabled top with a hole pierced through it, indicative of its use as a personal or administrative tool. The base of the seal is engraved with a design that, although worn and indistinct, reflects the stylistic characteristics of the Mesopotamian Ubaid culture. This artifact, unearthed in the historic city of Ur in present-day Iraq, offers a glimpse into the early development of administrative practices in one of the cradle regions of civilization. Its careful crafting techniques, such as piercing and engraving, showcase the technological prowess of the time.",-5900.0,-4000.0,True,success,Ur,Iraq,success
30,6550,3000BC-2900BC,Excavated/Findspot: Tell Arsh,steatite,pierced; incised; drilled,,,,Jemdet Nasr,Mesopotamian,iraq,"This Jemdet Nasr black steatite stamp-seal, dating from 3000 to 2900 BC, presents a roughly rectangular block form with a hole pierced through its width, representative of early Mesopotamian craftsmanship. Its twin faces are incised with crude designs, including drill-hole outlines depicting a man amidst falling rain, accompanied by striatums on the edges and grooves along the sides. Despite some abrasion and chipped corners, it retains distinctive patches of brown deposit, attesting to its ancient origins. The seal was unearthed at Tell Arsh in Iraq, contributing valuable insights into the artistic and functional use of seals in early Mesopotamian society.",-3000.0,-2900.0,True,success,Tell Arsh,Iraq,success
31,6562,6000BC-5000BC,Excavated/Findspot: Arpachiyah,marble,incised; perforated,,,,Halaf,Mesopotamian,iraq,"This circular marble stamp-seal, dating from the Halaf culture between 6000 BC and 5000 BC, exemplifies early Mesopotamian artistry and utility. Crafted from light brown marble, the seal features a flat base meticulously incised with criss-cross lines that form a geometric pattern, indicative of the period's aesthetic sensibility. The back of the seal is perforated, suggesting its use in practical applications, perhaps as a tool for impressing designs or as a personal identifier. Originating from the archaeological site of Arpachiyah in modern-day Iraq, this artifact provides valuable insight into the daily life and symbolic practices of the Halaf civilization.",-6000.0,-5000.0,True,success,Arpachiyah,Iraq,success
32,7621,1185-1333 (?),Found/Acquired: Seto-shi,stoneware,incised; glazed,Inscription type: owner's mark Inscription position: interior Inscription quoted: NEKKO HORA Inscription note: recutagular sticker with red frame,,,Kamakura Period,Japanese,Japan,"This fragmentary artifact is a sherd from the neck of a bottle, dating back to the Kamakura Period (1185-1333) in Japan. Fashioned from green-glazed stoneware, the piece exhibits incised detailing, a technique reflecting the sophisticated ceramic practices of its era. It carries an owner's mark inscribed on a rectangular sticker with a red frame, reading ""NEKKO HORA,"" positioned on the interior. This artifact was found in Seto-shi, a locality renowned for its historical significance in Japanese ceramic production. The sherd offers a glimpse into the artistry and material culture of the Kamakura Period, encapsulating the traditional craftsmanship of the time.",1185.0,1333.0,True,success,Seto-shi,Japan,success
33,7695,600 (ca.),Found/Acquired: Akasaka-cho (near),stoneware,ash-glazed; pierced; incised,Inscription type: inscription Inscription language: English Inscription quoted: Mino near Kiyomizu 3 ri from Akasaka,,,Late Kofun,Japanese,Japan,"This Late Kofun period pedestal long-necked jar, dating to around 600 CE, is a striking example of Japanese stoneware craftsmanship. Constructed from high-fired stoneware, it features a natural ash glaze that imparts a durable, aesthetically pleasing surface. The jar's globular body is designed with a flattened shoulder, resting on a pedestal which flares towards the foot, and it possesses a neck that also expands towards the mouth. Artistic embellishments include incised grooves that accentuate the pedestal, body, and neck, with the pedestal itself exhibiting three long vertical perforations, adding to its visual intrigue. An English inscription references ""Mino near Kiyomizu 3 ri from Akasaka."" This artifact was discovered near Akasaka-cho, situating it geographically within Japan and providing insight into the region's ceramic traditions during this era.",600.0,600.0,False,success,Akasaka-cho,Japan,success
34,7717,250-600 (?),Found/Acquired: Yamato (historic - kuni),stone,carved,,horse/ass,,Kofun Period,Japanese,Japan,"This carved stone equine figure, originating from Japan's Kofun Period, dates back to approximately 250-600 CE. The sculpture, representing a horse or ass, is intricately carved, reflecting the skill and artistry associated with this era in Japanese history. The Kofun Period is marked by its distinctive burial mounds and funerary art, of which this figure is a fine example. Discovered in the historic region of Yamato, this artifact highlights the cultural and symbolic significance of equines in Japanese society during this time, often associated with status and spiritual beliefs.",250.0,600.0,True,success,Yamato,Japan,success
